id_rumah_sakit,iso_code,nama_rumah_sakit,tipe_rumah_sakit,kelas_rumah_sakit,total_bed,icu_bed,isolation_bed,emergency_bed,ventilator_count,oxygen_capacity,ct_scan_available,pcr_lab_available,doctor_count,nurse_count,specialist_count,latitude,longitude,alamat,covid_referral,operational_status
17,ID-SU,RS TNI Sumatera Utara 9,Swasta,A,604,32,112,42,37,8456,False,False,90,553,34,-3.873176,121.848925,"Jl. Kesehatan No. 27, Sumatera Utara",False,Tutup Sementara
18,ID-SU,RS TNI Sumatera Utara 10,Swasta,C,80,2,4,6,1,480,False,False,8,74,2,-9.300319,119.731183,"Jl. Kesehatan No. 17, Sumatera Utara",False,Aktif
19,ID-SU,RS Swasta Sumatera Utara 11,Swasta,C,58,2,3,3,2,522,False,False,12,69,4,-10.867007,132.58679,"Jl. Kesehatan No. 14, Sumatera Utara",True,Aktif
20,ID-SU,RS Swasta Sumatera Utara 12,Pemerintah,A,435,24,48,33,21,6090,True,True,61,321,24,3.499518,118.248817,"Jl. Kesehatan No. 82, Sumatera Utara",False,Aktif
21,ID-SB,RS Daerah Sumatera Barat 1,Pemerintah,B,161,4,21,13,3,1932,True,False,33,128,6,-9.720854,135.622894,"Jl. Kesehatan No. 75, Sumatera Barat",True,Aktif
22,ID-SB,RS Bhayangkara Sumatera Barat 2,Pemerintah,B,260,9,26,24,10,1300,True,True,72,168,19,-9.252508,130.885347,"Jl. Kesehatan No. 21, Sumatera Barat",True,Aktif
23,ID-SB,RS Umum Sumatera Barat 3,Pemerintah,D,48,0,1,4,1,528,False,False,12,53,5,-6.464303,131.219227,"Jl. Kesehatan No. 5, Sumatera Barat",False,Aktif
24,ID-SB,RS Swasta Sumatera Barat 4,BUMN,C,78,2,7,5,2,624,False,False,11,75,3,-6.263748,98.193355,"Jl. Kesehatan No. 83, Sumatera Barat",False,Aktif
25,ID-SB,RS Swasta Sumatera Barat 5,Pemerintah,D,41,1,2,3,1,369,False,False,5,48,2,-9.157157,114.989933,"Jl. Kesehatan No. 78, Sumatera Barat",True,Aktif
26,ID-SB,RS Swasta Sumatera Barat 6,Swasta,C,99,4,5,5,3,1287,False,False,28,86,11,1.613151,125.848911,"Jl. Kesehatan No. 9, Sumatera Barat",False,Aktif
27,ID-SB,RS Bhayangkara Sumatera Barat 7,Pemerintah,B,230,14,20,21,14,3450,True,False,41,179,11,-8.836107,114.340531,"Jl. Kesehatan No. 52, Sumatera Barat",True,Aktif
28,ID-SB,RS Daerah Sumatera Barat 8,Swasta,B,227,10,24,17,10,2724,True,False,42,220,14,2.493502,139.152272,"Jl. Kesehatan No. 66, Sumatera Barat",False,Aktif
29,ID-SB,RS Bhayangkara Sumatera Barat 9,Pemerintah,B,173,12,22,14,10,1384,False,True,22,92,10,-0.608342,130.35051,"Jl. Kesehatan No. 92, Sumatera Barat",False,Aktif
30,ID-SB,RS TNI Sumatera Barat 10,Swasta,C,113,3,6,9,3,678,False,True,28,73,12,0.8305,116.369295,"Jl. Kesehatan No. 16, Sumatera Barat",False,Aktif
31,ID-SB,RS Daerah Sumatera Barat 11,Pemerintah,C,67,2,5,6,2,804,False,False,14,67,4,3.119676,120.20211,"Jl. Kesehatan No. 61, Sumatera Barat",False,Aktif
32,ID-SB,RS Swasta Sumatera Barat 12,Swasta,C,83,3,7,5,3,996,False,False,18,57,4,-6.142621,107.498895,"Jl. Kesehatan No. 11, Sumatera Barat",True,Aktif
33,ID-RI,RS TNI Riau 1,Swasta,B,209,10,18,12,9,2090,True,False,43,165,11,-3.85756,136.62257,"Jl. Kesehatan No. 62, Riau",True,Aktif
34,ID-RI,RS Swasta Riau 2,Pemerintah,A,782,52,137,72,61,8602,False,False,162,793,71,4.262793,117.458556,"Jl. Kesehatan No. 4, Riau",False,Aktif
35,ID-RI,RS Umum Riau 3,Pemerintah,C,93,3,8,8,3,651,False,False,27,81,12,-0.937823,125.497989,"Jl. Kesehatan No. 55, Riau",True,Tutup Sementara
36,ID-RI,RS Umum Riau 4,Pemerintah,C,109,2,6,7,1,1090,False,False,27,83,11,3.142713,106.60449,"Jl. Kesehatan No. 3, Riau",True,Aktif
37,ID-JA,RS TNI Jambi 1,Pemerintah,A,414,34,73,34,37,3312,True,False,57,212,14,-8.854243,125.795107,"Jl. Kesehatan No. 90, Jambi",False,Aktif
38,ID-JA,RS Bhayangkara Jambi 2,Pemerintah,D,44,0,2,4,1,308,False,False,12,25,2,-5.696727,126.157975,"Jl. Kesehatan No. 92, Jambi",True,Aktif
39,ID-JA,RS Swasta Jambi 3,Swasta,C,59,2,5,3,2,531,False,False,15,54,3,5.725354,131.001226,"Jl. Kesehatan No. 55, Jambi",False,Aktif
40,ID-JA,RS Daerah Jambi 4,Pemerintah,D,22,0,1,2,1,132,False,False,5,16,2,-3.184431,102.037593,"Jl. Kesehatan No. 67, Jambi",False,Aktif
41,ID-JA,RS Daerah Jambi 5,Swasta,C,128,5,9,9,4,1792,False,False,19,140,8,-9.526731,135.555034,"Jl. Kesehatan No. 73, Jambi",False,Aktif
42,ID-SS,RS Daerah Sumatera Selatan 1,Pemerintah,B,157,8,16,11,7,1413,True,True,26,175,10,-6.303434,95.466951,"Jl. Kesehatan No. 93, Sumatera Selatan",False,Aktif
43,ID-SS,RS TNI Sumatera Selatan 2,Swasta,C,112,4,6,8,4,1344,False,False,28,63,7,0.760382,109.085477,"Jl. Kesehatan No. 61, Sumatera Selatan",False,Aktif
44,ID-SS,RS Daerah Sumatera Selatan 3,Swasta,B,258,20,30,17,19,2322,True,True,38,150,9,-8.967569,119.649742,"Jl. Kesehatan No. 95, Sumatera Selatan",False,Aktif
45,ID-SS,RS Daerah Sumatera Selatan 4,Pemerintah,B,220,14,32,16,12,1320,False,True,58,155,17,-5.861451,127.56885,"Jl. Kesehatan No. 7, Sumatera Selatan",False,Tutup Sementara
46,ID-SS,RS Bhayangkara Sumatera Selatan 5,Pemerintah,C,139,6,11,12,5,695,False,True,29,115,9,-7.865818,97.363329,"Jl. Kesehatan No. 9, Sumatera Selatan",False,Aktif
47,ID-SS,RS TNI Sumatera Selatan 6,Pemerintah,D,35,0,2,1,1,490,False,False,10,19,2,-1.512758,114.144005,"Jl. Kesehatan No. 29, Sumatera Selatan",False,Tutup Sementara
48,ID-SS,RS Daerah Sumatera Selatan 7,Pemerintah,C,107,5,6,8,4,1498,False,False,23,99,9,5.109033,104.558244,"Jl. Kesehatan No. 85, Sumatera Selatan",True,Aktif
49,ID-SS,RS Umum Sumatera Selatan 8,Pemerintah,A,380,23,58,21,22,5320,True,False,73,198,20,-6.193788,134.54191,"Jl. Kesehatan No. 81, Sumatera Selatan",True,Aktif
50,ID-SS,RS Swasta Sumatera Selatan 9,Swasta,A,517,28,63,29,25,3619,False,True,59,318,17,1.732281,121.183524,"Jl. Kesehatan No. 60, Sumatera Selatan",False,Aktif
51,ID-SS,RS TNI Sumatera Selatan 10,TNI/Polri,B,253,19,29,18,15,1265,True,False,70,256,26,-10.560297,105.530523,"Jl. Kesehatan No. 74, Sumatera Selatan",True,Aktif
52,ID-SS,RS Bhayangkara Sumatera Selatan 11,Swasta,C,147,6,10,12,6,1029,False,False,44,118,19,5.473939,116.620478,"Jl. Kesehatan No. 42, Sumatera Selatan",True,Aktif
53,ID-SS,RS TNI Sumatera Selatan 12,Swasta,C,70,2,5,4,2,910,False,True,7,39,2,-9.029333,130.537205,"Jl. Kesehatan No. 85, Sumatera Selatan",False,Aktif
54,ID-SS,RS Bhayangkara Sumatera Selatan 13,Swasta,B,255,8,29,20,7,3060,True,True,64,163,23,4.770437,115.15334,"Jl. Kesehatan No. 81, Sumatera Selatan",True,Aktif
55,ID-BE,RS TNI Bengkulu 1,Swasta,B,190,8,15,13,7,1140,False,False,36,110,16,-2.527616,127.963753,"Jl. Kesehatan No. 62, Bengkulu",False,Aktif
56,ID-BE,RS TNI Bengkulu 2,Swasta,B,212,11,19,12,11,1484,False,True,57,146,24,-3.945979,137.975426,"Jl. Kesehatan No. 37, Bengkulu",False,Aktif
57,ID-BE,RS Daerah Bengkulu 3,Pemerintah,C,125,4,10,11,3,1500,False,False,21,110,7,-3.259142,109.801758,"Jl. Kesehatan No. 31, Bengkulu",False,Aktif
58,ID-BE,RS Umum Bengkulu 4,Pemerintah,C,79,3,5,5,2,869,False,True,14,76,6,5.673908,117.785118,"Jl. Kesehatan No. 65, Bengkulu",False,Aktif
59,ID-BE,RS Swasta Bengkulu 5,Swasta,A,745,40,137,40,46,3725,False,False,182,586,72,-8.375859,116.596568,"Jl. Kesehatan No. 84, Bengkulu",True,Aktif
60,ID-BE,RS Swasta Bengkulu 6,Pemerintah,D,47,0,2,3,1,705,False,True,11,48,5,-10.389715,98.147354,"Jl. Kesehatan No. 96, Bengkulu",True,Aktif
61,ID-BE,RS Swasta Bengkulu 7,Pemerintah,B,261,20,34,22,16,1827,False,True,62,295,13,2.534439,108.494918,"Jl. Kesehatan No. 32, Bengkulu",False,Tutup Sementara
62,ID-BE,RS Swasta Bengkulu 8,TNI/Polri,B,294,18,27,17,18,3234,False,False,65,196,30,-8.566999,116.212896,"Jl. Kesehatan No. 86, Bengkulu",True,Aktif
63,ID-LA,RS Bhayangkara Lampung 1,Swasta,B,223,14,20,16,13,3122,False,True,35,261,14,-3.233791,108.897597,"Jl. Kesehatan No. 31, Lampung",False,Aktif
64,ID-LA,RS TNI Lampung 2,Pemerintah,A,592,40,76,50,32,8880,False,False,106,299,48,2.231297,139.78573,"Jl. Kesehatan No. 100, Lampung",True,Aktif
65,ID-LA,RS Bhayangkara Lampung 3,TNI/Polri,B,240,9,22,15,9,3600,True,False,56,142,12,-0.333212,96.813438,"Jl. Kesehatan No. 94, Lampung",True,Aktif
66,ID-LA,RS Bhayangkara Lampung 4,Pemerintah,C,61,2,4,4,1,793,False,False,16,46,5,-6.367035,102.569043,"Jl. Kesehatan No. 96, Lampung",False,Aktif
67,ID-LA,RS Bhayangkara Lampung 5,TNI/Polri,C,64,2,3,5,1,960,False,True,15,75,7,2.67799,111.825652,"Jl. Kesehatan No. 34, Lampung",True,Aktif
68,ID-LA,RS TNI Lampung 6,Pemerintah,B,266,12,35,16,11,3990,False,True,76,153,20,-10.574581,135.674803,"Jl. Kesehatan No. 83, Lampung",True,Aktif
69,ID-BB,RS Daerah Kepulauan Bangka Belitung 1,Swasta,A,721,52,122,59,44,3605,False,False,208,514,72,-9.347736,135.813928,"Jl. Kesehatan No. 48, Kepulauan Bangka Belitung",False,Aktif
70,ID-BB,RS Bhayangkara Kepulauan Bangka Belitung 2,Swasta,A,600,52,69,42,43,7200,True,False,133,694,37,0.734771,104.994405,"Jl. Kesehatan No. 13, Kepulauan Bangka Belitung",False,Aktif
71,ID-BB,RS Umum Kepulauan Bangka Belitung 3,Swasta,B,289,21,36,15,19,1734,True,False,83,311,18,-7.394201,124.416674,"Jl. Kesehatan No. 32, Kepulauan Bangka Belitung",True,Aktif
72,ID-BB,RS Swasta Kepulauan Bangka Belitung 4,Pemerintah,C,150,5,8,13,4,1200,False,True,39,99,16,2.406944,122.415155,"Jl. Kesehatan No. 17, Kepulauan Bangka Belitung",False,Aktif
73,ID-BB,RS Umum Kepulauan Bangka Belitung 5,Pemerintah,C,72,1,6,4,1,576,False,False,15,36,4,-8.845105,114.364186,"Jl. Kesehatan No. 9, Kepulauan Bangka Belitung",False,Aktif
74,ID-BB,RS Umum Kepulauan Bangka Belitung 6,Swasta,B,264,18,30,14,18,3696,True,False,28,276,12,-2.135329,116.069956,"Jl. Kesehatan No. 52, Kepulauan Bangka Belitung",False,Aktif
75,ID-BB,RS Bhayangkara Kepulauan Bangka Belitung 7,Pemerintah,B,177,9,25,9,7,2478,False,False,22,104,8,-1.0488,127.759029,"Jl. Kesehatan No. 65, Kepulauan Bangka Belitung",False,Aktif
76,ID-BB,RS Bhayangkara Kepulauan Bangka Belitung 8,Pemerintah,D,23,0,0,1,1,299,False,False,5,14,2,-7.115609,110.590854,"Jl. Kesehatan No. 54, Kepulauan Bangka Belitung",True,Aktif
77,ID-KR,RS Daerah Kepulauan Riau 1,TNI/Polri,B,259,11,25,25,11,3108,True,False,29,280,6,-9.358405,128.984616,"Jl. Kesehatan No. 86, Kepulauan Riau",True,Aktif
78,ID-KR,RS Bhayangkara Kepulauan Riau 2,Swasta,B,255,12,32,22,13,1275,True,True,74,234,22,-1.175385,104.785985,"Jl. Kesehatan No. 45, Kepulauan Riau",False,Aktif
79,ID-KR,RS Swasta Kepulauan Riau 3,Pemerintah,C,64,2,5,5,2,896,False,True,14,60,2,4.794433,133.155196,"Jl. Kesehatan No. 24, Kepulauan Riau",False,Aktif
80,ID-KR,RS TNI Kepulauan Riau 4,Pemerintah,C,139,5,13,9,4,973,False,True,29,108,7,-0.236076,96.410227,"Jl. Kesehatan No. 49, Kepulauan Riau",False,Aktif
81,ID-KR,RS Umum Kepulauan Riau 5,TNI/Polri,C,108,3,7,9,3,1512,False,False,23,120,5,1.82541,97.289075,"Jl. Kesehatan No. 57, Kepulauan Riau",False,Tutup Sementara
82,ID-JK,RS Daerah DKI Jakarta 1,Pemerintah,A,610,43,77,53,36,6710,False,True,74,594,27,-2.04212,109.187292,"Jl. Kesehatan No. 1, DKI Jakarta",True,Tutup Sementara
83,ID-JK,RS TNI DKI Jakarta 2,Swasta,C,88,4,7,7,3,528,False,False,8,90,2,-4.536473,127.368878,"Jl. Kesehatan No. 86, DKI Jakarta",False,Tutup Sementara
84,ID-JK,RS Umum DKI Jakarta 3,TNI/Polri,B,168,8,22,12,7,1008,False,True,45,151,16,1.061482,114.213922,"Jl. Kesehatan No. 42, DKI Jakarta",True,Aktif
85,ID-JK,RS Daerah DKI Jakarta 4,TNI/Polri,B,267,19,38,14,21,2136,False,True,49,208,10,3.798915,129.307022,"Jl. Kesehatan No. 10, DKI Jakarta",True,Aktif
86,ID-JK,RS Umum DKI Jakarta 5,Swasta,C,117,4,11,7,4,1755,False,True,30,77,7,-7.646379,122.710353,"Jl. Kesehatan No. 99, DKI Jakarta",False,Aktif
87,ID-JK,RS Bhayangkara DKI Jakarta 6,Swasta,A,537,47,94,38,54,7518,True,False,122,639,36,5.506542,109.542389,"Jl. Kesehatan No. 57, DKI Jakarta",False,Aktif
88,ID-JK,RS Umum DKI Jakarta 7,BUMN,A,707,45,74,53,41,8484,False,False,76,535,21,-0.04067,139.958952,"Jl. Kesehatan No. 75, DKI Jakarta",True,Aktif
89,ID-JK,RS Umum DKI Jakarta 8,TNI/Polri,C,107,5,8,6,5,1391,False,False,13,58,3,4.285156,110.798138,"Jl. Kesehatan No. 83, DKI Jakarta",True,Aktif
90,ID-JK,RS Umum DKI Jakarta 9,Swasta,B,160,6,17,11,6,1120,False,True,27,182,8,2.165901,126.229295,"Jl. Kesehatan No. 43, DKI Jakarta",True,Aktif
91,ID-JK,RS Bhayangkara DKI Jakarta 10,Swasta,C,121,4,7,10,4,1694,False,True,33,88,12,-8.595718,111.091756,"Jl. Kesehatan No. 77, DKI Jakarta",True,Aktif
92,ID-JK,RS Swasta DKI Jakarta 11,TNI/Polri,B,229,13,28,15,11,3435,True,True,64,129,25,-2.355696,95.838605,"Jl. Kesehatan No. 44, DKI Jakarta",False,Aktif
93,ID-JK,RS TNI DKI Jakarta 12,Swasta,B,199,8,17,10,9,1194,True,False,40,174,16,-2.048962,125.448745,"Jl. Kesehatan No. 20, DKI Jakarta",True,Aktif
94,ID-JK,RS Bhayangkara DKI Jakarta 13,Swasta,C,73,3,6,6,2,876,False,True,7,55,2,5.483006,123.087389,"Jl. Kesehatan No. 69, DKI Jakarta",True,Aktif
95,ID-JK,RS TNI DKI Jakarta 14,Pemerintah,A,458,45,81,43,39,6870,False,True,132,544,44,-6.209881,112.566132,"Jl. Kesehatan No. 26, DKI Jakarta",True,Aktif
96,ID-JK,RS Daerah DKI Jakarta 15,Pemerintah,C,82,1,6,5,1,1066,False,False,22,57,9,-6.362548,136.644086,"Jl. Kesehatan No. 12, DKI Jakarta",True,Aktif
97,ID-JK,RS Swasta DKI Jakarta 16,Pemerintah,C,107,4,10,7,3,1070,False,True,15,127,4,-10.520812,137.817992,"Jl. Kesehatan No. 18, DKI Jakarta",True,Aktif
98,ID-JK,RS TNI DKI Jakarta 17,Pemerintah,D,29,0,1,2,1,348,False,False,5,14,2,-6.649293,133.408303,"Jl. Kesehatan No. 78, DKI Jakarta",False,Aktif
99,ID-JK,RS Umum DKI Jakarta 18,Pemerintah,C,64,2,3,3,1,960,False,False,16,52,3,4.387497,122.449996,"Jl. Kesehatan No. 66, DKI Jakarta",True,Aktif
100,ID-JK,RS TNI DKI Jakarta 19,Pemerintah,C,141,3,10,11,2,1551,False,False,19,136,6,-4.869736,138.856569,"Jl. Kesehatan No. 65, DKI Jakarta",True,Aktif
101,ID-JK,RS TNI DKI Jakarta 20,Pemerintah,C,99,4,5,6,3,495,False,False,16,54,4,0.170775,99.768538,"Jl. Kesehatan No. 97, DKI Jakarta",False,Aktif
102,ID-JK,RS Bhayangkara DKI Jakarta 21,Swasta,C,67,1,5,6,1,1005,False,True,12,66,4,2.795461,97.902625,"Jl. Kesehatan No. 38, DKI Jakarta",True,Tutup Sementara
103,ID-JK,RS Swasta DKI Jakarta 22,Swasta,B,161,11,22,10,10,1771,True,False,47,141,12,1.805946,103.790758,"Jl. Kesehatan No. 35, DKI Jakarta",True,Aktif
104,ID-JB,RS Bhayangkara Jawa Barat 1,Pemerintah,C,105,4,9,9,3,735,False,True,20,89,9,-2.17231,131.852812,"Jl. Kesehatan No. 56, Jawa Barat",True,Aktif
105,ID-JB,RS Swasta Jawa Barat 2,Pemerintah,D,37,0,1,2,1,444,False,False,8,29,3,-5.023701,96.948337,"Jl. Kesehatan No. 56, Jawa Barat",False,Aktif
106,ID-JB,RS Daerah Jawa Barat 3,Swasta,B,164,5,20,11,5,2460,True,True,21,85,9,0.527511,115.15595,"Jl. Kesehatan No. 100, Jawa Barat",False,Aktif
107,ID-JB,RS Swasta Jawa Barat 4,Pemerintah,B,242,11,28,19,11,2420,True,True,42,250,15,-1.999182,113.309566,"Jl. Kesehatan No. 4, Jawa Barat",True,Aktif
108,ID-JB,RS Daerah Jawa Barat 5,Swasta,B,277,15,39,15,16,3324,True,False,39,257,15,5.97669,104.208204,"Jl. Kesehatan No. 23, Jawa Barat",False,Aktif
109,ID-JB,RS Daerah Jawa Barat 6,BUMN,C,61,2,6,6,2,366,False,False,12,42,3,-8.322411,127.639934,"Jl. Kesehatan No. 66, Jawa Barat",True,Aktif
110,ID-JB,RS Umum Jawa Barat 7,Swasta,B,181,14,24,11,13,1810,True,False,38,137,16,-1.622002,123.149625,"Jl. Kesehatan No. 51, Jawa Barat",False,Aktif
111,ID-JB,RS TNI Jawa Barat 8,Pemerintah,C,117,3,8,9,2,1170,False,False,26,95,10,-5.143249,135.386167,"Jl. Kesehatan No. 76, Jawa Barat",True,Aktif
112,ID-JB,RS TNI Jawa Barat 9,Pemerintah,A,693,68,99,66,55,4158,False,True,141,494,35,4.890543,105.371633,"Jl. Kesehatan No. 33, Jawa Barat",True,Aktif
113,ID-JB,RS TNI Jawa Barat 10,TNI/Polri,C,131,6,8,10,6,786,False,False,26,80,12,-8.378697,125.301712,"Jl. Kesehatan No. 73, Jawa Barat",True,Aktif
114,ID-JB,RS Swasta Jawa Barat 11,Pemerintah,C,53,1,5,4,1,424,False,False,13,41,5,-2.533353,123.849544,"Jl. Kesehatan No. 39, Jawa Barat",False,Aktif
115,ID-JB,RS Swasta Jawa Barat 12,Pemerintah,C,81,3,6,5,2,405,False,False,10,64,3,-5.216726,101.60876,"Jl. Kesehatan No. 45, Jawa Barat",False,Aktif
116,ID-JB,RS TNI Jawa Barat 13,Swasta,B,183,12,21,10,10,1098,False,True,28,123,6,-6.066396,112.670892,"Jl. Kesehatan No. 21, Jawa Barat",False,Aktif
117,ID-JB,RS Daerah Jawa Barat 14,Pemerintah,C,123,5,7,7,5,1476,False,True,24,88,4,5.068958,118.250445,"Jl. Kesehatan No. 75, Jawa Barat",False,Aktif
118,ID-JB,RS Swasta Jawa Barat 15,TNI/Polri,B,162,5,18,15,5,1944,False,False,25,81,5,-8.723106,107.165753,"Jl. Kesehatan No. 6, Jawa Barat",False,Aktif
119,ID-JB,RS Daerah Jawa Barat 16,Pemerintah,C,56,2,3,4,1,728,False,True,10,49,4,-0.404893,123.107984,"Jl. Kesehatan No. 51, Jawa Barat",False,Aktif
120,ID-JB,RS Bhayangkara Jawa Barat 17,Swasta,C,93,3,6,5,3,1023,False,True,18,49,4,-5.338308,116.792231,"Jl. Kesehatan No. 78, Jawa Barat",True,Aktif
121,ID-JB,RS Bhayangkara Jawa Barat 18,Pemerintah,C,91,4,5,6,4,819,False,True,19,77,6,-2.672607,120.894516,"Jl. Kesehatan No. 48, Jawa Barat",False,Aktif
122,ID-JB,RS TNI Jawa Barat 19,Swasta,C,136,3,9,8,3,2040,False,True,14,113,6,2.309368,130.703453,"Jl. Kesehatan No. 93, Jawa Barat",True,Aktif
123,ID-JB,RS Umum Jawa Barat 20,BUMN,C,124,4,9,10,4,1364,False,False,16,121,3,5.119488,100.055194,"Jl. Kesehatan No. 41, Jawa Barat",False,Aktif
124,ID-JT,RS Bhayangkara Jawa Tengah 1,Pemerintah,B,255,16,27,22,18,1275,False,True,61,220,22,5.968089,117.005065,"Jl. Kesehatan No. 59, Jawa Tengah",False,Aktif
125,ID-JT,RS Swasta Jawa Tengah 2,Pemerintah,C,119,3,10,10,3,1071,False,False,26,75,7,-1.512527,105.343884,"Jl. Kesehatan No. 91, Jawa Tengah",True,Aktif
126,ID-JT,RS Swasta Jawa Tengah 3,Pemerintah,D,42,1,1,2,1,378,False,True,6,37,2,4.227928,113.148493,"Jl. Kesehatan No. 38, Jawa Tengah",True,Aktif
127,ID-JT,RS Umum Jawa Tengah 4,Swasta,B,223,17,19,21,18,2676,True,True,31,240,8,-1.445694,107.494587,"Jl. Kesehatan No. 7, Jawa Tengah",True,Aktif
128,ID-JT,RS Bhayangkara Jawa Tengah 5,Swasta,B,209,6,22,17,5,1463,False,True,21,185,10,-4.082573,138.011477,"Jl. Kesehatan No. 97, Jawa Tengah",False,Aktif
129,ID-JT,RS Daerah Jawa Tengah 6,Swasta,C,91,2,4,8,2,728,False,True,18,91,8,4.524905,103.05298,"Jl. Kesehatan No. 51, Jawa Tengah",False,Aktif
130,ID-JT,RS TNI Jawa Tengah 7,Pemerintah,C,73,3,7,7,3,365,False,False,11,67,5,-5.304284,115.900058,"Jl. Kesehatan No. 64, Jawa Tengah",True,Aktif
131,ID-JT,RS Daerah Jawa Tengah 8,BUMN,B,279,14,26,15,12,3348,True,False,64,279,13,-5.269093,108.571116,"Jl. Kesehatan No. 55, Jawa Tengah",False,Aktif
132,ID-JT,RS TNI Jawa Tengah 9,Swasta,B,172,8,14,17,7,1376,True,False,17,132,5,-6.461096,110.162764,"Jl. Kesehatan No. 84, Jawa Tengah",False,Tutup Sementara
133,ID-JT,RS Swasta Jawa Tengah 10,TNI/Polri,B,210,6,18,13,5,2730,False,True,59,235,25,0.734936,124.380721,"Jl. Kesehatan No. 29, Jawa Tengah",True,Aktif
134,ID-JT,RS TNI Jawa Tengah 11,Swasta,A,544,31,95,43,29,7072,True,False,153,560,67,3.03526,130.045543,"Jl. Kesehatan No. 68, Jawa Tengah",False,Tutup Sementara
135,ID-JT,RS Daerah Jawa Tengah 12,Swasta,C,59,2,3,5,2,472,False,False,12,35,3,-2.154194,100.347041,"Jl. Kesehatan No. 75, Jawa Tengah",False,Aktif
136,ID-JT,RS Bhayangkara Jawa Tengah 13,TNI/Polri,B,173,12,19,9,10,1903,False,True,33,93,11,2.717561,128.270884,"Jl. Kesehatan No. 96, Jawa Tengah",True,Aktif
137,ID-JT,RS Daerah Jawa Tengah 14,TNI/Polri,A,596,31,84,50,31,2980,False,False,171,326,82,-10.460507,113.807879,"Jl. Kesehatan No. 49, Jawa Tengah",False,Aktif
138,ID-JT,RS Daerah Jawa Tengah 15,BUMN,C,98,3,8,8,3,1470,False,True,26,57,12,-4.318003,100.857966,"Jl. Kesehatan No. 97, Jawa Tengah",True,Aktif
139,ID-JT,RS Umum Jawa Tengah 16,Swasta,B,226,12,29,16,11,1808,True,False,33,167,9,4.935976,128.351102,"Jl. Kesehatan No. 79, Jawa Tengah",True,Aktif
