id_mobilitas,iso_code,tanggal,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,private_vehicle_movement,public_transport_usage,walking_cycling,morning_rush_hour,afternoon_activity,evening_rush_hour,night_activity,overall_mobility_index
54,ID-KB,2020-03-08,-74.6,-34.4,-67.0,-68.6,-40.9,18.2,-47.6,-116.6,-25.1,-58.4,-38.3,-55.4,-78.7,-61.4
55,ID-KT,2020-03-08,-67.6,-38.3,-98.6,-102.4,-53.8,26.1,-49.2,-119.5,-49.7,-60.0,-45.9,-63.4,-74.8,-74.6
56,ID-KS,2020-03-08,-65.6,-16.6,-62.9,-48.0,-40.9,16.3,-34.5,-83.0,-15.0,-38.6,-35.6,-44.9,-40.7,-51.5
57,ID-KI,2020-03-08,-87.1,-42.2,-85.9,-77.7,-68.6,22.1,-56.1,-118.4,-33.3,-58.4,-49.3,-73.6,-97.3,-77.8
58,ID-KU,2020-03-08,-35.9,-34.3,-38.9,-74.1,-42.5,17.0,-37.2,-97.7,-24.6,-45.2,-40.4,-53.5,-81.3,-50.8
59,ID-SA,2020-03-08,-46.6,-27.6,-86.7,-79.4,-44.0,15.3,-53.6,-114.7,-46.2,-59.4,-43.7,-53.9,-80.0,-56.7
60,ID-ST,2020-03-08,-85.4,-28.1,-77.8,-70.6,-64.7,22.2,-47.8,-112.7,-43.4,-52.5,-41.8,-67.8,-82.5,-73.6
61,ID-SN,2020-03-08,-65.4,-32.9,-55.6,-75.9,-57.8,22.9,-54.8,-88.7,-20.6,-57.4,-56.5,-53.0,-88.2,-66.4
62,ID-SG,2020-03-08,-92.9,-29.3,-59.8,-91.9,-69.2,27.0,-52.3,-112.5,-24.9,-62.7,-57.0,-61.2,-88.4,-84.7
63,ID-GO,2020-03-08,-81.9,-37.1,-65.1,-95.2,-56.1,23.2,-50.3,-97.8,-28.9,-60.0,-43.7,-68.7,-68.6,-77.7
64,ID-SR,2020-03-08,-88.0,-30.0,-76.6,-92.0,-68.0,18.7,-43.7,-118.9,-32.7,-61.2,-65.7,-55.3,-79.0,-82.7
65,ID-MA,2020-03-08,-28.4,-23.4,-62.4,-38.1,-33.0,16.8,-28.6,-52.0,-8.6,-31.2,-24.2,-31.1,-32.9,-33.2
66,ID-MU,2020-03-08,-77.4,-42.6,-58.4,-100.3,-69.1,19.8,-55.1,-133.0,-50.4,-64.2,-74.0,-63.1,-76.4,-82.3
67,ID-PA,2020-03-08,-61.6,-32.7,-28.6,-57.7,-49.5,11.1,-39.9,-75.1,-15.1,-43.1,-38.1,-42.0,-72.3,-56.2
68,ID-PB,2020-03-08,-53.5,-18.1,-17.9,-58.3,-32.2,7.9,-28.3,-48.4,-11.3,-28.9,-42.0,-40.3,-65.4,-48.0
69,ID-AC,2020-03-15,-70.5,-39.5,-38.4,-75.9,-41.6,17.9,-48.9,-108.3,-28.0,-58.9,-51.8,-60.2,-94.5,-62.6
70,ID-SU,2020-03-15,-46.3,-30.9,-61.8,-80.2,-33.4,13.4,-43.0,-90.9,-23.1,-60.3,-43.8,-60.7,-82.5,-53.3
71,ID-SB,2020-03-15,-50.5,-20.7,-33.7,-76.6,-50.9,19.1,-32.5,-91.5,-31.3,-41.5,-55.6,-47.2,-75.1,-59.3
72,ID-RI,2020-03-15,-81.0,-36.7,-87.9,-93.7,-63.9,26.4,-42.6,-122.5,-45.2,-56.9,-44.3,-65.9,-85.6,-79.5
73,ID-JA,2020-03-15,-60.9,-44.1,-59.3,-93.6,-41.8,17.6,-53.7,-85.7,-37.8,-60.4,-50.0,-64.1,-88.4,-65.4
74,ID-SS,2020-03-15,-44.2,-20.7,-20.1,-61.6,-22.3,17.9,-30.0,-71.8,-13.8,-44.9,-49.0,-37.6,-63.7,-42.7
75,ID-BE,2020-03-15,-53.8,-28.3,-53.5,-75.6,-62.8,22.7,-53.4,-114.6,-48.9,-74.6,-70.9,-65.9,-78.7,-64.1
76,ID-LA,2020-03-15,-29.7,-17.9,-57.6,-47.5,-41.3,14.1,-29.0,-44.6,-24.6,-31.4,-36.7,-41.0,-63.7,-39.5
77,ID-BB,2020-03-15,-74.2,-34.3,-91.8,-71.7,-52.2,20.4,-54.5,-96.3,-26.8,-69.4,-48.1,-65.6,-79.6,-66.0
78,ID-KR,2020-03-15,-27.2,-15.4,-21.5,-39.8,-33.8,10.0,-26.9,-60.0,-23.2,-39.8,-31.5,-33.1,-33.6,-33.6
79,ID-JK,2020-03-15,-73.4,-36.9,-94.5,-85.4,-51.0,17.5,-45.7,-109.0,-39.3,-60.2,-42.6,-54.3,-73.7,-69.9
80,ID-JB,2020-03-15,-63.5,-37.5,-98.6,-82.2,-74.2,22.1,-46.2,-113.1,-45.9,-71.4,-60.9,-72.2,-87.3,-73.3
81,ID-JT,2020-03-15,-49.5,-31.2,-85.5,-78.1,-49.0,17.5,-47.0,-79.1,-38.4,-54.7,-57.2,-57.6,-84.0,-58.9
82,ID-YO,2020-03-15,-77.2,-37.8,-46.2,-99.7,-58.3,20.7,-48.5,-93.2,-48.3,-65.7,-67.0,-68.9,-93.3,-78.4
83,ID-JI,2020-03-15,-58.9,-22.7,-18.4,-58.4,-24.2,16.2,-38.4,-90.3,-33.3,-48.5,-27.0,-52.6,-62.4,-47.2
84,ID-BT,2020-03-15,-34.5,-26.0,-77.9,-51.2,-47.0,12.5,-28.4,-94.8,-40.7,-42.8,-30.9,-47.5,-77.7,-44.2
85,ID-BA,2020-03-15,-68.0,-44.6,-57.0,-94.0,-68.8,18.8,-55.6,-122.0,-54.2,-69.9,-74.5,-66.9,-108.7,-77.0
86,ID-NB,2020-03-15,-83.2,-25.1,-60.4,-70.3,-55.8,21.1,-42.8,-85.9,-35.8,-57.0,-52.8,-58.3,-80.9,-69.8
87,ID-NT,2020-03-15,-25.5,-20.9,-54.7,-62.2,-28.2,14.0,-25.3,-65.6,-33.2,-34.2,-31.7,-47.5,-55.3,-38.6
88,ID-KB,2020-03-15,-55.2,-25.2,-40.3,-70.1,-49.4,21.5,-50.8,-86.3,-24.6,-50.2,-54.0,-52.0,-95.0,-58.2
89,ID-KT,2020-03-15,-57.3,-22.5,-38.7,-49.6,-45.3,14.9,-32.1,-72.0,-26.7,-36.5,-47.2,-47.5,-54.2,-50.7
90,ID-KS,2020-03-15,-26.7,-18.9,-25.3,-56.0,-20.5,13.6,-31.3,-72.5,-12.6,-35.3,-34.0,-26.6,-43.5,-34.4
91,ID-KI,2020-03-15,-75.9,-34.0,-52.8,-79.5,-45.0,19.0,-49.9,-117.4,-40.6,-64.1,-56.9,-54.7,-78.4,-66.8
92,ID-KU,2020-03-15,-42.0,-22.7,-33.2,-86.1,-38.4,21.6,-49.5,-77.1,-43.9,-52.9,-39.0,-50.2,-79.8,-55.5
93,ID-SA,2020-03-15,-49.9,-23.2,-48.0,-76.2,-49.2,13.4,-45.1,-71.1,-21.9,-48.3,-41.6,-41.5,-57.6,-58.4
94,ID-ST,2020-03-15,-90.4,-32.0,-91.1,-77.8,-72.7,23.9,-56.0,-106.9,-29.5,-64.3,-65.5,-61.1,-105.7,-80.3
95,ID-SN,2020-03-15,-69.4,-45.5,-59.3,-99.9,-48.1,24.8,-47.8,-98.6,-24.2,-60.1,-49.4,-73.3,-88.5,-72.5
96,ID-SG,2020-03-15,-37.3,-24.9,-17.2,-55.5,-48.9,13.2,-32.4,-80.4,-13.2,-45.3,-24.2,-43.5,-53.3,-47.2
97,ID-GO,2020-03-15,-46.4,-18.4,-72.3,-66.2,-34.7,15.5,-38.5,-91.0,-43.1,-46.3,-32.6,-53.9,-66.2,-49.1
98,ID-SR,2020-03-15,-65.6,-43.3,-89.8,-75.7,-60.2,24.9,-37.3,-86.7,-21.5,-60.3,-44.0,-50.7,-83.9,-67.2
99,ID-MA,2020-03-15,-67.7,-21.0,-56.1,-71.6,-56.6,14.3,-30.1,-67.9,-41.3,-44.6,-60.5,-41.6,-83.5,-65.3
100,ID-MU,2020-03-15,-68.2,-19.4,-33.6,-65.2,-54.7,16.7,-48.7,-91.1,-29.4,-42.5,-36.2,-48.2,-67.1,-62.7
101,ID-PA,2020-03-15,-66.3,-36.9,-56.9,-55.1,-32.1,21.8,-41.2,-80.3,-14.8,-42.6,-40.1,-41.6,-83.1,-51.2
102,ID-PB,2020-03-15,-89.9,-40.4,-93.8,-76.7,-46.9,21.8,-59.4,-97.7,-34.9,-56.9,-60.0,-70.7,-77.4,-71.2
103,ID-AC,2020-03-22,-74.4,-27.7,-52.3,-58.5,-38.3,22.3,-35.5,-74.2,-35.4,-60.2,-63.3,-49.2,-64.7,-57.1
104,ID-SU,2020-03-22,-58.7,-14.6,-35.7,-46.2,-42.3,8.0,-26.2,-74.9,-28.9,-40.5,-40.0,-39.4,-61.9,-49.1
105,ID-SB,2020-03-22,-26.3,-14.6,-62.9,-64.6,-38.7,15.2,-28.3,-68.8,-28.2,-41.6,-48.6,-39.2,-48.0,-43.2
106,ID-RI,2020-03-22,-43.4,-20.9,-72.2,-51.6,-32.7,12.1,-29.8,-57.0,-35.6,-49.1,-46.0,-40.6,-41.2,-42.6
107,ID-JA,2020-03-22,-43.7,-22.5,-84.3,-78.0,-51.6,12.5,-45.2,-91.5,-28.5,-42.2,-57.8,-54.2,-84.7,-57.8
108,ID-SS,2020-03-22,-34.9,-22.4,-74.1,-74.0,-39.6,15.4,-26.7,-88.8,-25.4,-53.6,-33.9,-36.5,-45.0,-49.5
109,ID-BE,2020-03-22,-41.5,-38.7,-60.6,-60.3,-47.3,15.7,-49.5,-106.5,-33.8,-60.2,-41.3,-64.1,-70.8,-49.7
110,ID-LA,2020-03-22,-48.2,-17.4,-34.2,-59.9,-43.3,14.9,-22.0,-46.8,-8.3,-30.7,-46.0,-31.6,-46.1,-50.4
111,ID-BB,2020-03-22,-78.1,-39.9,-58.5,-95.5,-59.0,20.5,-49.2,-117.8,-35.1,-60.0,-55.4,-57.6,-69.3,-77.6
112,ID-KR,2020-03-22,-62.5,-32.9,-89.1,-71.1,-54.0,15.4,-50.5,-100.8,-22.1,-50.3,-39.8,-59.8,-91.4,-62.5
113,ID-JK,2020-03-22,-64.5,-44.4,-58.7,-77.0,-58.8,19.4,-48.7,-102.0,-36.3,-61.5,-52.5,-71.2,-68.2,-66.8
114,ID-JB,2020-03-22,-73.2,-36.1,-91.6,-82.8,-40.3,21.2,-41.4,-105.8,-44.6,-66.2,-57.3,-60.2,-74.8,-65.5
115,ID-JT,2020-03-22,-62.9,-23.9,-70.4,-81.6,-37.8,21.7,-39.4,-74.8,-16.0,-49.6,-43.4,-43.7,-51.6,-60.8
116,ID-YO,2020-03-22,-47.2,-17.8,-73.5,-61.4,-47.7,12.4,-30.8,-55.0,-7.8,-47.4,-37.6,-44.5,-58.3,-52.1
117,ID-JI,2020-03-22,-72.1,-40.8,-41.6,-78.3,-68.3,25.2,-46.5,-96.5,-26.2,-67.0,-48.4,-66.6,-100.8,-72.9
118,ID-BT,2020-03-22,-75.0,-33.3,-58.2,-79.6,-33.7,22.4,-42.8,-102.4,-29.0,-60.7,-58.0,-50.3,-65.8,-62.8
119,ID-BA,2020-03-22,-76.8,-35.2,-48.2,-77.5,-49.9,14.9,-31.8,-96.5,-34.2,-58.0,-56.3,-53.3,-53.7,-68.1
120,ID-NB,2020-03-22,-89.3,-34.2,-104.5,-110.0,-67.8,28.6,-53.9,-105.3,-32.5,-63.2,-55.5,-71.3,-77.9,-89.0
121,ID-NT,2020-03-22,-64.8,-23.1,-44.6,-64.8,-42.2,17.4,-26.1,-92.0,-31.3,-47.3,-44.3,-36.2,-57.0,-57.3
122,ID-KB,2020-03-22,-42.6,-27.8,-32.5,-65.2,-40.1,16.4,-28.4,-69.7,-32.8,-49.6,-54.7,-54.5,-44.2,-49.3
123,ID-KT,2020-03-22,-43.9,-22.7,-67.9,-79.2,-64.3,22.7,-42.6,-108.0,-26.0,-62.7,-65.6,-66.4,-75.6,-62.5
124,ID-KS,2020-03-22,-97.1,-44.3,-58.3,-92.0,-48.3,24.2,-62.3,-113.1,-34.8,-63.2,-50.7,-72.6,-95.4,-79.1
125,ID-KI,2020-03-22,-66.9,-42.1,-62.5,-88.6,-78.0,24.9,-45.7,-106.8,-52.3,-70.0,-68.4,-76.2,-77.4,-77.8
126,ID-KU,2020-03-22,-43.4,-15.0,-62.7,-61.9,-26.0,10.9,-29.1,-58.6,-33.0,-44.6,-44.6,-39.1,-71.8,-43.8
127,ID-SA,2020-03-22,-41.3,-20.4,-29.2,-59.3,-37.7,13.8,-24.6,-84.3,-28.2,-38.3,-30.4,-44.6,-56.8,-46.1
128,ID-ST,2020-03-22,-67.9,-45.3,-106.1,-103.0,-73.6,28.1,-60.5,-136.2,-48.0,-79.9,-77.3,-65.1,-83.5,-81.5
129,ID-SN,2020-03-22,-77.9,-37.9,-70.9,-83.5,-45.4,18.4,-44.0,-90.4,-34.1,-51.9,-35.2,-57.2,-77.9,-68.9
130,ID-SG,2020-03-22,-47.2,-39.2,-59.3,-83.8,-49.8,23.4,-45.8,-99.8,-33.1,-64.9,-46.7,-64.8,-70.9,-60.3
131,ID-GO,2020-03-22,-62.6,-21.4,-86.0,-83.2,-57.2,21.5,-44.8,-83.4,-14.1,-60.3,-43.6,-61.5,-50.3,-67.7
132,ID-SR,2020-03-22,-84.7,-28.8,-79.8,-76.6,-67.5,20.1,-56.8,-114.6,-44.3,-62.1,-65.3,-59.1,-71.5,-76.3
133,ID-MA,2020-03-22,-89.7,-45.0,-56.0,-70.8,-51.6,20.8,-55.8,-97.6,-32.2,-58.0,-61.7,-62.9,-86.5,-70.7
134,ID-MU,2020-03-22,-60.0,-30.0,-87.3,-80.9,-50.1,16.9,-50.3,-113.4,-22.8,-59.0,-41.7,-60.1,-95.4,-63.7
135,ID-PA,2020-03-22,-55.3,-32.0,-79.5,-58.2,-49.9,15.8,-32.3,-88.3,-15.0,-58.5,-57.0,-47.8,-84.0,-54.5
136,ID-PB,2020-03-22,-63.3,-41.9,-52.5,-90.7,-45.7,19.6,-43.5,-120.2,-36.0,-67.2,-50.9,-57.2,-87.0,-66.6
137,ID-AC,2020-03-29,-85.8,-30.5,-55.1,-97.2,-45.7,18.5,-58.4,-120.4,-43.0,-69.5,-46.1,-58.4,-76.8,-76.2
138,ID-SU,2020-03-29,-49.0,-32.7,-61.0,-72.9,-41.1,10.8,-28.5,-82.4,-11.8,-47.1,-27.0,-49.9,-68.6,-54.4
139,ID-SB,2020-03-29,-41.5,-37.6,-81.4,-56.6,-47.3,14.6,-38.3,-72.7,-29.2,-47.2,-52.6,-52.4,-67.8,-48.5
140,ID-RI,2020-03-29,-57.7,-23.7,-64.9,-70.5,-34.9,21.2,-52.7,-97.1,-19.9,-49.4,-38.2,-53.1,-76.1,-54.3
141,ID-JA,2020-03-29,-61.6,-31.9,-93.7,-82.1,-68.1,23.2,-58.9,-127.1,-48.9,-68.9,-64.8,-56.7,-72.2,-70.6
142,ID-SS,2020-03-29,-55.0,-22.0,-36.1,-34.7,-27.0,12.0,-24.8,-79.5,-5.6,-38.6,-46.0,-40.0,-66.6,-38.9
143,ID-BE,2020-03-29,-84.7,-37.8,-100.8,-93.4,-54.4,22.5,-48.1,-99.6,-49.5,-73.5,-72.6,-78.5,-108.5,-77.5
144,ID-LA,2020-03-29,-66.4,-34.3,-87.6,-99.1,-46.3,25.7,-57.0,-93.2,-23.8,-66.2,-59.8,-72.0,-104.3,-70.6
145,ID-BB,2020-03-29,-83.6,-33.2,-52.9,-83.7,-54.1,16.7,-52.6,-110.8,-36.9,-61.5,-42.4,-65.7,-74.5,-73.8
146,ID-KR,2020-03-29,-84.6,-37.8,-92.8,-89.5,-69.4,20.8,-53.9,-93.9,-26.8,-57.6,-54.8,-69.9,-74.9,-81.2
147,ID-JK,2020-03-29,-75.2,-37.3,-59.2,-96.2,-69.5,24.7,-42.8,-108.3,-31.1,-60.5,-44.4,-68.0,-79.5,-80.3
148,ID-JB,2020-03-29,-58.4,-20.4,-22.8,-43.6,-48.4,15.0,-32.6,-55.9,-12.8,-38.6,-22.5,-32.3,-59.7,-50.1
149,ID-JT,2020-03-29,-53.7,-26.4,-50.2,-60.6,-40.2,16.1,-25.9,-46.1,-16.6,-29.5,-31.4,-44.4,-68.7,-51.5
150,ID-YO,2020-03-29,-66.2,-40.8,-78.8,-65.0,-45.3,16.9,-43.9,-80.7,-46.0,-53.0,-48.8,-57.1,-67.3,-58.8
151,ID-JI,2020-03-29,-74.0,-25.7,-56.9,-77.8,-51.3,21.3,-43.9,-118.4,-33.2,-55.9,-67.8,-62.1,-77.2,-67.7
152,ID-BT,2020-03-29,-77.9,-36.6,-66.2,-106.9,-58.1,28.5,-49.1,-137.2,-26.2,-71.3,-71.6,-80.9,-99.0,-81.0
153,ID-BA,2020-03-29,-55.4,-23.2,-57.4,-73.3,-38.2,12.0,-34.7,-90.2,-18.1,-50.0,-39.1,-47.4,-56.3,-55.7
154,ID-NB,2020-03-29,-70.0,-34.4,-73.1,-70.0,-53.2,18.6,-46.6,-69.5,-21.3,-55.2,-46.3,-47.5,-54.0,-64.4
155,ID-NT,2020-03-29,-73.9,-36.5,-76.3,-70.8,-58.6,19.6,-39.0,-79.8,-32.4,-44.8,-60.0,-49.1,-85.5,-67.8
156,ID-KB,2020-03-29,-84.6,-30.9,-88.4,-82.2,-64.3,26.7,-64.7,-100.8,-47.5,-63.4,-57.4,-80.0,-98.7,-77.0
157,ID-KT,2020-03-29,-72.4,-29.3,-71.2,-72.6,-47.7,19.5,-50.9,-124.2,-21.8,-72.3,-63.5,-63.5,-70.4,-64.3
158,ID-KS,2020-03-29,-76.5,-38.9,-68.2,-74.4,-44.0,22.7,-55.0,-122.3,-32.2,-67.4,-56.8,-69.9,-83.8,-64.9
159,ID-KI,2020-03-29,-67.1,-39.2,-69.8,-66.0,-32.5,17.3,-42.0,-81.5,-34.4,-50.4,-56.8,-49.7,-58.7,-55.2
160,ID-KU,2020-03-29,-73.1,-45.8,-70.2,-77.1,-64.0,24.4,-52.7,-114.7,-34.4,-69.9,-54.2,-67.1,-105.8,-71.4
161,ID-SA,2020-03-29,-63.2,-38.3,-92.8,-106.1,-60.8,27.4,-59.4,-104.4,-27.6,-60.9,-66.2,-72.1,-107.5,-76.7
162,ID-ST,2020-03-29,-47.2,-31.4,-56.7,-79.7,-44.9,21.2,-33.7,-79.2,-29.1,-47.0,-50.2,-46.4,-70.5,-57.3
163,ID-SN,2020-03-29,-58.9,-18.2,-22.2,-64.8,-39.8,11.3,-39.5,-57.4,-36.6,-48.1,-40.7,-53.8,-58.2,-54.5
