id_ekonomi,iso_code,tahun,bulan,pdrb_milyar,pertumbuhan_ekonomi,inflasi_rate,tingkat_pengangguran,tingkat_partisipasi_kerja,upah_minimum_regional,sektor_pertanian,sektor_industri,sektor_perdagangan,sektor_jasa,sektor_pariwisata,penurunan_omzet_umkm,penutupan_usaha,bantuan_sosial_milyar,recovery_index,business_confidence
46,ID-JB,2020,2,1962.91,4.64,1.92,3.95,61.04,1751340,9.18,34.7,24.64,24.75,7.88,18.19,94,95.17,48.12,51.19
47,ID-JT,2020,2,1194.59,5.05,0.93,7.18,71.98,1619831,38.85,15.16,21.94,11.21,12.72,13.96,19,69.64,21.4,23.51
48,ID-YO,2020,2,184.33,6.19,1.97,3.91,70.91,1466004,38.53,16.49,17.18,10.83,5.0,17.65,76,12.36,33.96,37.71
49,ID-JI,2020,2,1628.78,3.45,2.84,4.27,65.12,1932725,7.3,37.14,23.6,24.12,4.88,10.43,48,39.0,29.77,25.28
50,ID-BT,2020,2,217.14,5.02,1.46,7.14,73.37,1533372,20.95,12.86,19.44,13.91,9.66,17.4,54,53.06,42.58,33.3
51,ID-BA,2020,2,273.82,4.22,2.94,3.06,70.96,2488848,37.57,18.11,17.14,14.27,6.85,1.28,98,85.4,29.09,24.37
52,ID-NB,2020,2,194.21,5.28,1.38,4.11,60.92,1431587,22.72,16.15,19.28,15.59,12.05,6.2,33,52.7,33.33,24.75
53,ID-NT,2020,2,218.5,4.4,1.43,3.66,61.47,1485816,24.05,19.13,19.96,12.5,9.51,0.19,95,92.81,46.46,47.49
54,ID-KB,2020,2,217.42,4.88,2.64,7.63,72.24,1491692,23.19,13.84,23.48,11.69,10.3,16.79,29,34.69,44.4,37.16
55,ID-KT,2020,2,200.86,4.23,2.85,3.37,62.43,1570336,31.61,12.92,19.4,19.7,14.93,19.66,23,14.3,45.15,48.59
56,ID-KS,2020,2,184.65,5.47,2.18,5.95,60.93,1510270,20.81,16.63,19.83,17.27,11.24,18.15,82,25.74,35.28,28.09
57,ID-KI,2020,2,212.73,4.36,1.98,5.13,70.5,1531616,20.62,22.04,23.87,16.23,5.73,8.28,87,30.09,28.96,28.1
58,ID-KU,2020,2,198.12,4.94,2.02,5.36,71.19,1483390,32.14,23.71,21.95,14.62,6.18,15.32,72,85.89,25.27,28.23
59,ID-SA,2020,2,217.72,5.37,2.46,6.57,60.83,1536101,33.01,24.24,18.94,11.78,10.0,4.96,56,69.52,47.99,41.8
60,ID-ST,2020,2,200.52,6.42,0.98,3.44,73.06,1479871,34.57,12.71,20.62,14.7,8.2,15.87,47,38.11,26.73,20.84
61,ID-SN,2020,2,461.04,6.31,2.83,3.39,66.3,1452846,37.57,24.67,22.25,16.23,5.34,5.84,65,10.34,35.52,31.38
62,ID-SG,2020,2,206.86,6.32,0.58,3.67,72.2,1504293,37.34,10.69,22.16,15.14,11.24,12.1,23,80.32,34.64,36.74
63,ID-GO,2020,2,211.95,4.16,1.3,6.49,62.4,1492749,22.12,15.38,24.08,14.93,12.02,9.32,36,97.18,32.77,39.8
64,ID-SR,2020,2,187.49,5.26,2.5,7.19,72.62,1541209,36.79,12.91,16.72,15.06,5.96,16.84,84,82.59,33.69,36.15
65,ID-MA,2020,2,211.99,6.31,1.03,5.37,74.86,1483130,35.96,21.62,22.04,14.58,6.1,8.79,65,80.83,37.82,38.3
66,ID-MU,2020,2,196.05,4.74,2.39,3.32,71.93,1451059,33.28,15.45,19.93,10.54,7.15,3.23,24,99.87,24.14,15.61
67,ID-PA,2020,2,185.62,6.08,0.81,6.11,66.66,1522622,20.38,22.66,22.55,14.59,6.09,8.58,36,84.84,48.91,51.33
68,ID-PB,2020,2,190.36,4.97,1.8,6.67,72.37,1500032,25.59,14.86,20.42,19.25,11.5,2.56,62,19.53,42.09,42.34
69,ID-AC,2020,3,189.96,3.98,1.18,6.09,72.77,1550418,29.12,11.52,22.01,13.67,11.48,19.2,26,78.34,47.31,56.42
70,ID-SU,2020,3,643.73,5.57,2.22,5.98,63.51,2043616,31.27,18.44,20.91,18.87,11.65,4.28,74,47.85,44.58,37.75
71,ID-SB,2020,3,183.23,5.09,2.27,4.95,74.92,1513156,21.32,12.03,22.12,14.79,8.15,13.17,54,27.2,37.0,38.21
72,ID-RI,2020,3,598.91,4.86,2.07,4.14,72.02,1488233,36.92,14.61,24.79,14.36,9.15,9.0,37,12.5,27.86,20.52
73,ID-JA,2020,3,206.34,4.38,2.03,4.34,64.24,1574668,29.15,20.5,24.0,14.06,12.67,9.71,65,33.35,35.86,43.09
74,ID-SS,2020,3,197.37,4.9,1.46,7.95,61.77,1436943,20.47,16.03,24.12,10.44,6.53,14.03,73,22.92,29.11,21.46
75,ID-BE,2020,3,194.19,5.78,2.0,3.26,69.86,1544368,20.28,18.32,15.59,14.29,8.39,11.87,56,71.79,48.83,51.67
76,ID-LA,2020,3,207.29,4.97,0.93,4.13,64.84,1475299,34.76,19.47,17.1,19.55,12.2,0.2,30,53.36,28.22,26.0
77,ID-BB,2020,3,187.29,6.12,1.44,6.44,63.07,1492788,26.72,21.24,17.59,13.57,9.83,13.95,28,29.23,20.55,23.31
78,ID-KR,2020,3,209.99,3.88,0.6,3.11,66.75,1470824,27.45,15.77,21.1,16.73,7.87,0.45,78,54.59,28.2,20.19
79,ID-JK,2020,3,2578.03,6.18,1.42,7.48,66.81,4496342,9.15,34.59,23.76,17.48,6.88,3.65,48,59.94,23.6,21.49
80,ID-JB,2020,3,1719.17,5.11,2.64,6.83,66.01,1762351,8.23,38.86,20.75,24.41,5.13,1.01,32,73.76,24.55,28.18
81,ID-JT,2020,3,1298.14,5.79,2.69,6.09,66.3,1637850,24.59,14.17,22.18,17.46,13.9,15.75,94,15.85,29.06,32.61
82,ID-YO,2020,3,204.41,4.98,1.4,6.64,73.9,1482294,25.98,19.19,21.57,19.67,14.16,13.84,84,30.01,40.4,41.17
83,ID-JI,2020,3,1593.25,6.47,0.93,3.87,67.62,1886446,5.12,33.76,23.08,19.74,3.36,7.74,47,69.35,26.82,28.88
84,ID-BT,2020,3,201.59,4.52,1.52,6.57,67.81,1545422,24.63,20.92,18.28,14.82,7.82,9.34,85,29.61,22.52,14.18
85,ID-BA,2020,3,312.3,3.67,2.46,5.91,65.02,2612417,24.29,12.02,24.82,11.19,13.63,8.29,99,26.0,39.71,38.23
86,ID-NB,2020,3,195.68,6.35,2.79,3.22,73.0,1517011,34.16,17.73,18.31,13.04,5.7,1.54,25,67.27,20.86,18.04
87,ID-NT,2020,3,195.03,3.49,2.63,4.85,71.91,1533062,29.27,23.91,19.46,18.88,11.46,1.29,16,38.04,30.74,38.2
88,ID-KB,2020,3,196.25,5.53,1.77,5.55,72.09,1554309,20.51,20.24,24.28,16.93,6.56,0.55,100,88.91,49.09,53.91
89,ID-KT,2020,3,213.25,6.38,1.46,7.97,73.0,1497938,36.3,18.39,16.05,11.67,5.78,5.24,78,46.54,26.87,25.33
90,ID-KS,2020,3,204.33,3.8,2.8,4.72,74.85,1509542,37.65,24.86,21.33,15.96,8.29,16.17,33,87.09,30.4,36.52
91,ID-KI,2020,3,212.93,4.67,0.85,6.5,64.26,1568757,37.59,21.99,21.22,10.33,14.32,10.82,100,18.39,21.3,27.99
92,ID-KU,2020,3,187.12,6.31,1.91,4.63,71.75,1537252,28.67,12.92,15.93,17.93,5.08,15.37,36,54.61,38.83,45.84
93,ID-SA,2020,3,184.96,4.67,0.52,5.1,69.22,1501887,27.73,10.74,22.16,14.67,11.84,8.94,21,42.56,43.59,40.2
94,ID-ST,2020,3,207.61,4.43,1.21,5.08,73.41,1552120,34.08,10.94,17.82,13.37,10.1,7.48,99,88.3,39.91,30.04
95,ID-SN,2020,3,510.23,4.77,2.61,5.93,68.95,1540914,21.22,15.64,23.53,18.21,8.9,17.31,61,78.78,24.02,27.91
96,ID-SG,2020,3,182.19,4.66,2.63,3.13,67.02,1430020,24.54,22.72,16.62,14.1,14.25,8.38,89,77.1,36.61,37.71
97,ID-GO,2020,3,209.27,5.56,1.23,3.28,60.8,1573303,33.22,11.0,19.7,11.56,10.63,14.67,73,25.4,28.51,38.3
98,ID-SR,2020,3,184.62,5.37,1.62,7.69,63.87,1573238,35.86,11.39,23.07,10.77,5.5,4.66,90,95.57,44.5,53.79
99,ID-MA,2020,3,215.3,3.54,1.05,7.66,71.94,1550634,39.54,13.66,19.88,14.91,5.59,4.16,81,96.21,26.26,28.73
100,ID-MU,2020,3,217.57,5.82,2.3,4.88,68.74,1527725,38.51,13.78,21.74,19.71,13.07,2.74,63,34.21,23.04,21.03
101,ID-PA,2020,3,197.26,6.56,1.03,4.14,74.4,1476789,21.22,20.86,20.7,13.7,7.76,2.82,81,25.88,24.24,22.37
102,ID-PB,2020,3,213.72,6.8,1.12,3.31,72.11,1447183,33.64,14.18,22.74,10.91,9.74,7.35,100,27.28,48.18,43.02
103,ID-AC,2020,4,211.74,-2.86,2.46,6.63,61.98,1539902,35.85,18.7,21.26,18.19,12.46,65.42,529,53.22,37.63,28.42
104,ID-SU,2020,4,716.37,-7.12,0.75,6.56,71.96,2026022,31.37,16.43,20.41,19.38,9.3,43.32,402,95.18,26.76,30.19
105,ID-SB,2020,4,194.23,-4.65,1.25,7.5,74.23,1498418,32.15,13.8,16.56,13.67,7.08,61.03,169,245.61,48.61,40.8
106,ID-RI,2020,4,614.3,-8.46,1.16,10.43,68.12,1436824,26.63,14.14,17.45,14.77,7.72,43.7,543,163.04,24.66,22.05
107,ID-JA,2020,4,185.46,-8.02,2.06,11.85,60.14,1470395,21.56,11.58,21.74,13.85,11.08,56.78,598,278.71,25.67,18.3
108,ID-SS,2020,4,191.43,-5.59,0.79,6.99,68.58,1443722,32.55,16.51,15.57,12.7,5.12,57.53,884,412.48,20.82,22.41
109,ID-BE,2020,4,189.01,-4.65,2.34,6.25,67.05,1436423,27.35,11.3,23.61,16.46,13.87,69.86,873,177.36,43.86,35.11
110,ID-LA,2020,4,207.49,-6.59,0.73,11.73,62.43,1449503,36.52,14.49,24.68,12.22,9.42,41.88,415,400.27,39.0,36.18
111,ID-BB,2020,4,218.28,-7.79,2.75,7.83,66.37,1467001,32.44,14.81,22.1,11.88,13.48,37.97,584,263.91,28.88,22.49
112,ID-KR,2020,4,210.35,-5.03,1.22,7.53,71.4,1443274,27.19,14.3,21.73,11.34,5.4,43.71,615,477.57,46.8,43.79
113,ID-JK,2020,4,2742.48,-4.82,2.34,11.07,67.94,4616251,5.62,43.97,24.72,21.84,4.26,59.8,691,207.24,45.98,47.07
114,ID-JB,2020,4,1838.76,-6.18,0.76,10.52,71.95,1722649,13.77,42.08,28.2,16.45,7.18,33.28,290,97.11,45.05,43.59
115,ID-JT,2020,4,1297.49,-2.08,2.12,8.71,62.09,1775756,35.19,18.62,17.07,16.79,11.39,35.92,753,348.01,35.52,41.82
116,ID-YO,2020,4,183.77,-6.81,2.83,6.85,67.51,1425255,21.1,16.67,23.02,17.58,11.11,51.94,769,292.29,22.27,12.46
117,ID-JI,2020,4,1533.35,-6.92,1.11,11.57,68.34,1815083,10.42,35.71,24.11,20.19,6.28,42.58,313,329.96,48.55,46.11
118,ID-BT,2020,4,215.04,-6.58,2.84,11.85,65.77,1541060,31.46,14.01,21.8,14.31,8.6,67.28,676,457.21,24.31,21.56
119,ID-BA,2020,4,301.44,-5.76,2.75,6.9,66.95,2396896,23.69,19.65,21.82,18.69,14.0,36.63,720,107.89,25.59,34.03
120,ID-NB,2020,4,204.52,-7.95,0.87,11.91,73.3,1476007,20.67,10.17,16.35,10.37,13.53,41.37,587,214.41,47.23,47.47
121,ID-NT,2020,4,199.16,-6.86,1.78,9.56,63.36,1434497,30.28,15.02,19.71,18.22,14.3,38.21,154,499.24,26.99,24.9
122,ID-KB,2020,4,207.75,-5.25,2.77,10.05,73.12,1558404,36.36,16.63,23.17,19.37,13.22,52.22,140,141.3,33.3,25.75
123,ID-KT,2020,4,217.01,-2.22,2.21,10.45,72.39,1438231,23.86,15.05,20.26,19.57,6.97,54.65,726,382.8,48.06,56.55
124,ID-KS,2020,4,181.95,-7.38,0.85,8.21,63.47,1471864,21.46,18.08,19.74,14.9,14.32,41.73,683,379.57,28.27,28.29
125,ID-KI,2020,4,200.62,-6.19,1.85,10.93,73.82,1503603,34.07,10.93,22.6,11.66,9.39,45.6,399,376.07,42.97,34.27
126,ID-KU,2020,4,218.04,-3.3,0.82,8.01,70.64,1515109,21.33,12.74,24.64,13.51,6.39,42.84,128,391.62,25.77,26.66
127,ID-SA,2020,4,198.64,-4.47,2.33,11.21,60.76,1451170,39.26,17.11,24.54,19.61,7.5,65.33,216,427.2,30.16,38.56
128,ID-ST,2020,4,205.18,-3.94,0.99,11.2,61.88,1548645,30.5,22.98,19.65,12.71,14.6,45.38,398,276.74,38.58,38.99
129,ID-SN,2020,4,463.74,-6.45,2.12,11.6,66.58,1561707,20.13,24.05,15.4,15.9,12.14,48.59,166,290.47,35.33,25.59
130,ID-SG,2020,4,206.94,-3.7,1.36,11.08,63.49,1512812,37.72,14.13,20.65,14.48,7.0,30.62,358,225.98,44.23,48.78
131,ID-GO,2020,4,201.54,-3.81,1.47,6.46,73.48,1536836,30.97,21.36,16.72,14.57,11.01,54.79,582,241.05,45.54,41.94
132,ID-SR,2020,4,204.42,-4.91,1.05,9.6,66.14,1446748,20.69,19.37,17.85,16.41,10.22,60.46,471,237.27,23.84,18.57
133,ID-MA,2020,4,213.67,-6.41,0.77,8.99,68.71,1430220,29.05,23.81,21.8,16.42,13.68,59.56,698,348.34,23.57,25.8
134,ID-MU,2020,4,183.45,-6.75,1.24,8.2,74.07,1430184,20.16,15.26,23.68,16.4,14.56,66.35,762,439.38,21.02,22.09
135,ID-PA,2020,4,185.26,-4.19,1.54,10.78,60.03,1570279,21.08,17.57,22.53,16.27,5.66,55.68,905,167.06,41.82,37.33
136,ID-PB,2020,4,184.04,-3.36,1.38,10.83,69.15,1505314,33.21,22.67,16.66,11.9,13.26,57.39,129,421.7,21.55,25.81
137,ID-AC,2020,5,207.16,-4.05,1.51,11.36,61.2,1438106,38.1,22.88,22.27,13.5,14.93,69.73,925,56.64,28.48,21.69
138,ID-SU,2020,5,640.09,-2.16,1.86,6.61,72.4,2087423,31.79,13.68,17.19,19.37,7.57,56.46,876,379.99,40.08,31.78
139,ID-SB,2020,5,199.97,-5.92,1.47,10.8,70.93,1567998,29.5,15.45,19.32,14.38,5.22,46.96,169,360.08,46.46,44.64
140,ID-RI,2020,5,546.6,-3.53,1.21,6.49,60.34,1522664,22.44,13.95,15.69,10.47,14.93,68.33,429,201.83,35.1,25.23
141,ID-JA,2020,5,190.19,-4.77,0.82,7.62,65.39,1481298,39.74,14.61,19.08,12.47,9.65,54.98,323,385.48,40.05,42.22
142,ID-SS,2020,5,189.38,-3.99,2.06,7.02,71.03,1461575,27.61,16.62,23.4,15.98,10.68,44.82,987,184.17,24.4,28.26
143,ID-BE,2020,5,182.4,-8.22,2.27,9.0,72.81,1526752,22.42,15.61,22.6,13.5,6.35,52.37,733,162.37,20.04,25.07
144,ID-LA,2020,5,188.16,-4.65,1.51,11.25,67.84,1429006,35.4,21.31,15.69,17.03,6.81,64.62,776,108.73,23.68,25.48
145,ID-BB,2020,5,180.18,-3.43,0.62,10.72,70.88,1541626,27.8,14.01,19.18,17.04,9.7,50.45,298,177.88,43.47,35.57
146,ID-KR,2020,5,208.87,-2.25,2.24,7.82,63.53,1479491,26.24,10.44,18.42,13.0,13.88,33.34,553,98.24,30.03,25.87
147,ID-JK,2020,5,2438.15,-5.08,0.88,7.57,65.88,4448876,6.07,38.01,26.34,18.25,5.66,54.52,101,313.89,25.91,35.38
148,ID-JB,2020,5,1759.66,-4.71,0.63,6.9,62.36,1856322,10.12,33.77,21.11,24.11,3.73,48.02,312,292.85,21.52,24.7
149,ID-JT,2020,5,1314.09,-3.6,1.01,9.75,64.27,1696131,26.85,12.44,20.57,19.46,13.66,54.63,721,365.21,31.96,31.47
150,ID-YO,2020,5,204.58,-3.66,2.39,9.41,71.66,1550835,22.04,18.09,22.76,13.7,13.65,40.02,568,158.81,45.74,40.32
151,ID-JI,2020,5,1731.55,-4.0,1.87,9.77,70.51,1857468,11.19,44.32,29.36,20.16,6.54,58.3,447,358.16,44.48,43.95
152,ID-BT,2020,5,193.19,-7.06,1.22,6.91,69.98,1566804,32.56,10.59,24.6,17.22,8.68,49.02,998,343.19,44.35,35.04
153,ID-BA,2020,5,272.82,-3.21,1.09,10.67,72.15,2555136,31.92,18.31,19.32,12.21,14.13,60.09,351,428.86,25.29,17.33
154,ID-NB,2020,5,196.52,-4.79,0.91,10.71,64.03,1522806,25.05,11.16,15.69,12.21,5.02,54.63,253,366.16,41.75,47.85
155,ID-NT,2020,5,195.43,-7.48,2.93,8.46,72.05,1558021,29.93,13.88,23.9,14.54,5.12,52.67,881,478.07,34.12,31.41
156,ID-KB,2020,5,197.27,-5.81,0.89,11.35,62.0,1526417,33.49,15.47,21.92,14.44,8.39,47.76,780,281.26,23.33,30.09
157,ID-KT,2020,5,181.45,-3.27,2.6,10.12,65.19,1461573,34.99,13.78,19.82,17.19,6.99,65.44,308,288.86,24.74,27.97
158,ID-KS,2020,5,199.02,-2.04,2.01,7.29,65.28,1523015,23.52,12.51,20.59,12.51,14.02,35.18,804,117.68,37.69,29.63
159,ID-KI,2020,5,181.47,-5.77,1.81,6.45,72.08,1443328,28.62,22.15,23.1,15.44,10.84,58.16,845,204.6,27.81,23.36
160,ID-KU,2020,5,210.9,-5.61,0.69,11.01,64.27,1546346,35.16,13.94,15.62,13.68,13.78,48.56,106,163.25,38.4,47.62
161,ID-SA,2020,5,187.94,-8.22,2.13,7.31,63.5,1453817,22.04,23.75,15.52,14.14,6.4,63.65,412,173.01,40.25,49.6
162,ID-ST,2020,5,202.66,-3.02,2.3,7.47,73.1,1534774,30.88,13.65,16.97,14.46,10.21,38.18,774,153.39,42.36,33.54
163,ID-SN,2020,5,504.95,-2.78,2.58,9.52,67.96,1528613,31.37,17.56,17.83,15.17,5.12,67.79,442,80.1,30.27,30.03
164,ID-SG,2020,5,185.33,-4.59,0.96,7.19,60.56,1460949,25.86,10.57,23.05,14.79,7.94,35.62,741,70.18,28.13,31.49
165,ID-GO,2020,5,204.38,-2.41,2.05,11.42,64.05,1488300,23.91,19.88,19.89,16.02,13.83,50.41,360,400.91,43.53,35.8
166,ID-SR,2020,5,187.97,-3.05,2.65,11.5,68.88,1512939,21.96,17.4,20.65,10.21,8.32,53.18,965,353.49,26.49,16.9
167,ID-MA,2020,5,186.93,-7.2,2.94,11.71,62.49,1554805,38.13,15.51,20.2,10.72,10.64,39.97,231,110.22,23.51,30.0
168,ID-MU,2020,5,197.06,-4.68,2.36,9.33,66.5,1429533,29.45,19.24,18.09,16.91,10.82,69.36,607,121.76,27.58,36.06
169,ID-PA,2020,5,209.68,-3.74,2.09,8.1,71.93,1533901,31.33,17.63,21.61,16.26,14.72,43.97,847,442.53,20.28,14.72
170,ID-PB,2020,5,191.44,-5.65,2.56,10.95,74.19,1431239,30.79,21.53,19.71,16.22,14.02,63.87,376,209.34,30.73,38.11
171,ID-AC,2020,6,181.06,-4.52,2.17,8.33,72.45,1552964,36.78,22.68,22.32,16.15,6.32,59.1,707,304.27,33.22,34.23
172,ID-SU,2020,6,729.99,-8.46,0.75,7.12,62.09,1946947,37.11,20.52,22.3,19.11,7.0,60.48,640,477.97,23.35,33.34
173,ID-SB,2020,6,202.48,-7.95,2.96,11.01,65.09,1440557,29.84,11.42,22.78,11.53,11.44,42.83,292,191.31,48.19,48.89
174,ID-RI,2020,6,561.35,-5.3,2.84,11.25,73.21,1522743,32.6,17.1,22.92,10.92,14.62,41.87,161,197.97,37.53,37.28
175,ID-JA,2020,6,188.82,-3.94,0.93,8.91,74.37,1437646,20.26,16.99,19.35,13.41,5.4,44.78,947,156.51,25.38,34.31
176,ID-SS,2020,6,196.94,-7.46,2.48,9.91,62.83,1432567,22.72,10.33,17.89,11.48,7.79,66.03,109,167.72,35.66,45.28
177,ID-BE,2020,6,219.27,-7.13,0.69,8.42,62.07,1475430,31.21,13.56,22.22,18.46,10.28,65.8,805,297.55,44.7,43.56
178,ID-LA,2020,6,215.22,-7.68,1.46,7.79,69.92,1470960,21.98,11.89,16.16,18.82,6.35,52.56,546,343.81,47.55,41.83
179,ID-BB,2020,6,184.56,-5.44,2.91,8.82,67.82,1488512,20.26,21.11,16.72,15.79,9.95,37.68,669,145.88,37.11,37.5
180,ID-KR,2020,6,185.63,-5.04,0.52,8.68,60.91,1494913,26.96,16.77,18.48,12.2,5.76,46.73,747,412.29,45.34,45.64
