id_kebijakan,iso_code,tanggal_mulai,tanggal_selesai,jenis_kebijakan,nama_kebijakan,deskripsi_kebijakan,tingkat_keketatan,sektor_pendidikan,sektor_ekonomi,sektor_transportasi,sektor_pariwisata,sektor_ibadah,compliance_rate,dampak_ekonomi_pct,status_kebijakan
11,ID-JK,2020-03-15,2020-05-02,Work From Home,Work From Home DKI Jakarta,Implementasi Work From Home di DKI Jakarta untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,85.3,29.7,Berakhir
12,ID-JB,2020-03-15,2020-05-15,Work From Home,Work From Home Jawa Barat,Implementasi Work From Home di Jawa Barat untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,75.8,18.0,Berakhir
13,ID-JT,2020-03-15,2020-06-07,Work From Home,Work From Home Jawa Tengah,Implementasi Work From Home di Jawa Tengah untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,62.2,21.8,Berakhir
14,ID-YO,2020-03-15,2020-05-12,Work From Home,Work From Home Yogyakarta,Implementasi Work From Home di Yogyakarta untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,73.5,13.5,Berakhir
15,ID-JI,2020-03-15,2020-03-31,Work From Home,Work From Home Jawa Timur,Implementasi Work From Home di Jawa Timur untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,73.3,20.1,Berakhir
16,ID-BT,2020-03-15,2020-05-28,Work From Home,Work From Home Banten,Implementasi Work From Home di Banten untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,72.8,28.1,Berakhir
17,ID-BA,2020-03-15,2020-04-14,Work From Home,Work From Home Bali,Implementasi Work From Home di Bali untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,89.6,20.3,Berakhir
18,ID-NB,2020-03-15,2020-04-05,Work From Home,Work From Home Nusa Tenggara Barat,Implementasi Work From Home di Nusa Tenggara Barat untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,85.5,24.8,Berakhir
19,ID-NT,2020-03-15,2020-04-11,Work From Home,Work From Home Nusa Tenggara Timur,Implementasi Work From Home di Nusa Tenggara Timur untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,88.4,17.1,Berakhir
20,ID-KB,2020-03-15,2020-04-02,Work From Home,Work From Home Kalimantan Barat,Implementasi Work From Home di Kalimantan Barat untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,67.5,20.5,Berakhir
21,ID-KT,2020-03-15,2020-05-12,Work From Home,Work From Home Kalimantan Tengah,Implementasi Work From Home di Kalimantan Tengah untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,67.0,19.0,Berakhir
22,ID-KS,2020-03-15,2020-04-16,Work From Home,Work From Home Kalimantan Selatan,Implementasi Work From Home di Kalimantan Selatan untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,85.8,13.2,Berakhir
23,ID-KI,2020-03-15,2020-05-27,Work From Home,Work From Home Kalimantan Timur,Implementasi Work From Home di Kalimantan Timur untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,76.1,12.2,Berakhir
24,ID-KU,2020-03-15,2020-05-27,Work From Home,Work From Home Kalimantan Utara,Implementasi Work From Home di Kalimantan Utara untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,87.9,23.7,Berakhir
25,ID-SA,2020-03-15,2020-06-08,Work From Home,Work From Home Sulawesi Utara,Implementasi Work From Home di Sulawesi Utara untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,71.5,14.1,Berakhir
26,ID-ST,2020-03-15,2020-05-22,Work From Home,Work From Home Sulawesi Tengah,Implementasi Work From Home di Sulawesi Tengah untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,78.1,13.1,Berakhir
27,ID-SN,2020-03-15,2020-06-03,Work From Home,Work From Home Sulawesi Selatan,Implementasi Work From Home di Sulawesi Selatan untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,69.5,16.7,Berakhir
28,ID-SG,2020-03-15,2020-05-27,Work From Home,Work From Home Sulawesi Tenggara,Implementasi Work From Home di Sulawesi Tenggara untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,69.8,13.1,Berakhir
29,ID-GO,2020-03-15,2020-05-24,Work From Home,Work From Home Gorontalo,Implementasi Work From Home di Gorontalo untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,68.9,21.4,Berakhir
30,ID-SR,2020-03-15,2020-05-01,Work From Home,Work From Home Sulawesi Barat,Implementasi Work From Home di Sulawesi Barat untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,69.0,17.5,Berakhir
31,ID-MA,2020-03-15,2020-06-12,Work From Home,Work From Home Maluku,Implementasi Work From Home di Maluku untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,67.9,19.4,Berakhir
32,ID-MU,2020-03-15,2020-04-19,Work From Home,Work From Home Maluku Utara,Implementasi Work From Home di Maluku Utara untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,72.0,15.1,Berakhir
33,ID-PA,2020-03-15,2020-04-25,Work From Home,Work From Home Papua,Implementasi Work From Home di Papua untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,77.9,18.2,Berakhir
34,ID-PB,2020-03-15,2020-06-11,Work From Home,Work From Home Papua Barat,Implementasi Work From Home di Papua Barat untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,88.9,21.4,Berakhir
35,ID-JK,2020-04-01,2020-05-14,PSBB,PSBB DKI Jakarta,Implementasi PSBB di DKI Jakarta untuk mengendalikan penyebaran COVID-19,8,True,True,True,True,True,76.0,38.2,Berakhir
36,ID-JB,2020-04-01,2020-05-09,PSBB,PSBB Jawa Barat,Implementasi PSBB di Jawa Barat untuk mengendalikan penyebaran COVID-19,8,True,True,True,True,True,68.4,32.8,Berakhir
37,ID-JI,2020-04-01,2020-05-23,PSBB,PSBB Jawa Timur,Implementasi PSBB di Jawa Timur untuk mengendalikan penyebaran COVID-19,8,True,True,True,True,True,88.5,23.7,Berakhir
38,ID-JK,2020-06-01,2020-07-28,PSBB,PSBB DKI Jakarta,Implementasi PSBB di DKI Jakarta untuk mengendalikan penyebaran COVID-19,6,True,True,True,True,True,87.1,22.3,Berakhir
39,ID-JB,2020-06-01,2020-07-05,PSBB,PSBB Jawa Barat,Implementasi PSBB di Jawa Barat untuk mengendalikan penyebaran COVID-19,6,True,True,True,True,True,73.9,20.5,Berakhir
40,ID-JI,2020-06-01,2020-08-12,PSBB,PSBB Jawa Timur,Implementasi PSBB di Jawa Timur untuk mengendalikan penyebaran COVID-19,6,True,True,True,True,True,62.7,18.7,Berakhir
41,ID-AC,2020-09-01,2020-11-06,Sekolah Daring,Sekolah Daring Aceh,Implementasi Sekolah Daring di Aceh untuk mengendalikan penyebaran COVID-19,7,True,False,True,True,True,66.2,16.4,Berakhir
42,ID-SU,2020-09-01,2020-11-17,Sekolah Daring,Sekolah Daring Sumatera Utara,Implementasi Sekolah Daring di Sumatera Utara untuk mengendalikan penyebaran COVID-19,7,False,True,False,False,True,77.1,19.1,Berakhir
43,ID-SB,2020-09-01,2020-11-27,Sekolah Daring,Sekolah Daring Sumatera Barat,Implementasi Sekolah Daring di Sumatera Barat untuk mengendalikan penyebaran COVID-19,7,True,False,False,True,False,76.6,15.0,Berakhir
44,ID-RI,2020-09-01,2020-09-21,Sekolah Daring,Sekolah Daring Riau,Implementasi Sekolah Daring di Riau untuk mengendalikan penyebaran COVID-19,7,True,False,True,False,True,77.6,30.2,Berakhir
45,ID-JA,2020-09-01,2020-11-06,Sekolah Daring,Sekolah Daring Jambi,Implementasi Sekolah Daring di Jambi untuk mengendalikan penyebaran COVID-19,7,False,False,True,False,True,72.5,25.9,Berakhir
46,ID-SS,2020-09-01,2020-10-08,Sekolah Daring,Sekolah Daring Sumatera Selatan,Implementasi Sekolah Daring di Sumatera Selatan untuk mengendalikan penyebaran COVID-19,7,False,False,True,False,True,73.8,25.7,Berakhir
47,ID-BE,2020-09-01,2020-09-18,Sekolah Daring,Sekolah Daring Bengkulu,Implementasi Sekolah Daring di Bengkulu untuk mengendalikan penyebaran COVID-19,7,False,True,False,True,True,65.2,19.6,Berakhir
48,ID-LA,2020-09-01,2020-09-30,Sekolah Daring,Sekolah Daring Lampung,Implementasi Sekolah Daring di Lampung untuk mengendalikan penyebaran COVID-19,7,False,True,False,False,True,65.7,24.5,Berakhir
49,ID-BB,2020-09-01,2020-11-10,Sekolah Daring,Sekolah Daring Kepulauan Bangka Belitung,Implementasi Sekolah Daring di Kepulauan Bangka Belitung untuk mengendalikan penyebaran COVID-19,7,True,True,True,False,True,84.3,18.1,Berakhir
50,ID-KR,2020-09-01,2020-09-22,Sekolah Daring,Sekolah Daring Kepulauan Riau,Implementasi Sekolah Daring di Kepulauan Riau untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,False,68.5,14.4,Berakhir
51,ID-JK,2020-09-01,2020-11-21,Sekolah Daring,Sekolah Daring DKI Jakarta,Implementasi Sekolah Daring di DKI Jakarta untuk mengendalikan penyebaran COVID-19,7,False,False,True,True,True,62.5,30.4,Berakhir
52,ID-JB,2020-09-01,2020-10-22,Sekolah Daring,Sekolah Daring Jawa Barat,Implementasi Sekolah Daring di Jawa Barat untuk mengendalikan penyebaran COVID-19,7,False,False,True,False,False,70.7,18.6,Berakhir
53,ID-JT,2020-09-01,2020-11-14,Sekolah Daring,Sekolah Daring Jawa Tengah,Implementasi Sekolah Daring di Jawa Tengah untuk mengendalikan penyebaran COVID-19,7,True,False,True,True,False,67.7,24.8,Berakhir
54,ID-YO,2020-09-01,2020-11-19,Sekolah Daring,Sekolah Daring Yogyakarta,Implementasi Sekolah Daring di Yogyakarta untuk mengendalikan penyebaran COVID-19,7,True,False,True,True,True,64.3,17.0,Berakhir
55,ID-JI,2020-09-01,2020-09-28,Sekolah Daring,Sekolah Daring Jawa Timur,Implementasi Sekolah Daring di Jawa Timur untuk mengendalikan penyebaran COVID-19,7,False,True,False,True,True,74.5,33.4,Berakhir
56,ID-BT,2020-09-01,2020-11-08,Sekolah Daring,Sekolah Daring Banten,Implementasi Sekolah Daring di Banten untuk mengendalikan penyebaran COVID-19,7,False,False,False,False,False,63.1,29.9,Berakhir
57,ID-BA,2020-09-01,2020-11-09,Sekolah Daring,Sekolah Daring Bali,Implementasi Sekolah Daring di Bali untuk mengendalikan penyebaran COVID-19,7,False,True,False,True,True,73.1,26.5,Berakhir
58,ID-NB,2020-09-01,2020-10-16,Sekolah Daring,Sekolah Daring Nusa Tenggara Barat,Implementasi Sekolah Daring di Nusa Tenggara Barat untuk mengendalikan penyebaran COVID-19,7,False,False,False,False,True,85.5,27.8,Berakhir
59,ID-NT,2020-09-01,2020-09-30,Sekolah Daring,Sekolah Daring Nusa Tenggara Timur,Implementasi Sekolah Daring di Nusa Tenggara Timur untuk mengendalikan penyebaran COVID-19,7,False,True,True,True,True,84.2,24.8,Berakhir
60,ID-KB,2020-09-01,2020-09-25,Sekolah Daring,Sekolah Daring Kalimantan Barat,Implementasi Sekolah Daring di Kalimantan Barat untuk mengendalikan penyebaran COVID-19,7,True,False,False,True,True,77.7,18.1,Berakhir
61,ID-KT,2020-09-01,2020-11-06,Sekolah Daring,Sekolah Daring Kalimantan Tengah,Implementasi Sekolah Daring di Kalimantan Tengah untuk mengendalikan penyebaran COVID-19,7,False,True,False,False,False,75.2,24.7,Berakhir
62,ID-KS,2020-09-01,2020-11-21,Sekolah Daring,Sekolah Daring Kalimantan Selatan,Implementasi Sekolah Daring di Kalimantan Selatan untuk mengendalikan penyebaran COVID-19,7,True,False,False,True,False,62.0,28.8,Berakhir
63,ID-KI,2020-09-01,2020-09-24,Sekolah Daring,Sekolah Daring Kalimantan Timur,Implementasi Sekolah Daring di Kalimantan Timur untuk mengendalikan penyebaran COVID-19,7,True,False,False,True,False,70.3,19.6,Berakhir
64,ID-KU,2020-09-01,2020-10-10,Sekolah Daring,Sekolah Daring Kalimantan Utara,Implementasi Sekolah Daring di Kalimantan Utara untuk mengendalikan penyebaran COVID-19,7,True,False,True,False,False,88.5,30.5,Berakhir
65,ID-SA,2020-09-01,2020-10-10,Sekolah Daring,Sekolah Daring Sulawesi Utara,Implementasi Sekolah Daring di Sulawesi Utara untuk mengendalikan penyebaran COVID-19,7,False,False,False,True,False,61.8,32.6,Berakhir
66,ID-ST,2020-09-01,2020-11-20,Sekolah Daring,Sekolah Daring Sulawesi Tengah,Implementasi Sekolah Daring di Sulawesi Tengah untuk mengendalikan penyebaran COVID-19,7,False,False,True,True,False,73.6,24.3,Berakhir
67,ID-SN,2020-09-01,2020-11-09,Sekolah Daring,Sekolah Daring Sulawesi Selatan,Implementasi Sekolah Daring di Sulawesi Selatan untuk mengendalikan penyebaran COVID-19,7,False,True,False,False,True,85.3,31.4,Berakhir
68,ID-SG,2020-09-01,2020-11-18,Sekolah Daring,Sekolah Daring Sulawesi Tenggara,Implementasi Sekolah Daring di Sulawesi Tenggara untuk mengendalikan penyebaran COVID-19,7,True,False,True,True,True,60.3,34.2,Berakhir
69,ID-GO,2020-09-01,2020-10-11,Sekolah Daring,Sekolah Daring Gorontalo,Implementasi Sekolah Daring di Gorontalo untuk mengendalikan penyebaran COVID-19,7,False,False,False,True,False,60.1,16.6,Berakhir
70,ID-SR,2020-09-01,2020-11-04,Sekolah Daring,Sekolah Daring Sulawesi Barat,Implementasi Sekolah Daring di Sulawesi Barat untuk mengendalikan penyebaran COVID-19,7,True,False,True,True,False,77.2,23.3,Berakhir
71,ID-MA,2020-09-01,2020-09-26,Sekolah Daring,Sekolah Daring Maluku,Implementasi Sekolah Daring di Maluku untuk mengendalikan penyebaran COVID-19,7,True,False,False,False,False,61.3,18.7,Berakhir
72,ID-MU,2020-09-01,2020-09-17,Sekolah Daring,Sekolah Daring Maluku Utara,Implementasi Sekolah Daring di Maluku Utara untuk mengendalikan penyebaran COVID-19,7,False,True,False,False,True,62.4,16.6,Berakhir
73,ID-PA,2020-09-01,2020-10-25,Sekolah Daring,Sekolah Daring Papua,Implementasi Sekolah Daring di Papua untuk mengendalikan penyebaran COVID-19,7,False,True,True,False,False,64.0,32.2,Berakhir
74,ID-PB,2020-09-01,2020-09-29,Sekolah Daring,Sekolah Daring Papua Barat,Implementasi Sekolah Daring di Papua Barat untuk mengendalikan penyebaran COVID-19,7,True,False,False,False,False,85.3,32.6,Berakhir
75,ID-JK,2021-01-11,2021-03-11,PPKM Level 4,PPKM Level 4 DKI Jakarta,Implementasi PPKM Level 4 di DKI Jakarta untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,85.8,27.9,Berakhir
76,ID-JB,2021-01-11,2021-02-26,PPKM Level 4,PPKM Level 4 Jawa Barat,Implementasi PPKM Level 4 di Jawa Barat untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,61.0,23.0,Berakhir
77,ID-JI,2021-01-11,2021-04-09,PPKM Level 4,PPKM Level 4 Jawa Timur,Implementasi PPKM Level 4 di Jawa Timur untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,62.5,19.7,Berakhir
78,ID-JT,2021-01-11,2021-03-22,PPKM Level 4,PPKM Level 4 Jawa Tengah,Implementasi PPKM Level 4 di Jawa Tengah untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,68.0,43.4,Berakhir
79,ID-BT,2021-01-11,2021-02-18,PPKM Level 4,PPKM Level 4 Banten,Implementasi PPKM Level 4 di Banten untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,72.7,27.8,Berakhir
80,ID-BA,2021-01-11,2021-03-29,PPKM Level 4,PPKM Level 4 Bali,Implementasi PPKM Level 4 di Bali untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,89.3,22.3,Berakhir
81,ID-JK,2021-03-01,2021-03-25,PPKM Level 3,PPKM Level 3 DKI Jakarta,Implementasi PPKM Level 3 di DKI Jakarta untuk mengendalikan penyebaran COVID-19,7,True,True,True,True,False,78.2,29.3,Berakhir
82,ID-JB,2021-03-01,2021-05-11,PPKM Level 3,PPKM Level 3 Jawa Barat,Implementasi PPKM Level 3 di Jawa Barat untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,False,62.2,21.4,Berakhir
83,ID-JI,2021-03-01,2021-04-01,PPKM Level 3,PPKM Level 3 Jawa Timur,Implementasi PPKM Level 3 di Jawa Timur untuk mengendalikan penyebaran COVID-19,7,True,True,True,True,True,88.7,34.5,Berakhir
84,ID-JT,2021-03-01,2021-03-25,PPKM Level 3,PPKM Level 3 Jawa Tengah,Implementasi PPKM Level 3 di Jawa Tengah untuk mengendalikan penyebaran COVID-19,7,True,True,True,True,False,75.8,19.1,Berakhir
85,ID-BT,2021-03-01,2021-05-29,PPKM Level 3,PPKM Level 3 Banten,Implementasi PPKM Level 3 di Banten untuk mengendalikan penyebaran COVID-19,7,True,True,True,True,True,83.6,24.5,Berakhir
86,ID-BA,2021-03-01,2021-05-27,PPKM Level 3,PPKM Level 3 Bali,Implementasi PPKM Level 3 di Bali untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,False,74.6,17.7,Berakhir
87,ID-SU,2021-03-01,2021-03-17,PPKM Level 3,PPKM Level 3 Sumatera Utara,Implementasi PPKM Level 3 di Sumatera Utara untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,True,83.1,27.5,Berakhir
88,ID-SN,2021-03-01,2021-04-11,PPKM Level 3,PPKM Level 3 Sulawesi Selatan,Implementasi PPKM Level 3 di Sulawesi Selatan untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,True,84.4,28.9,Berakhir
89,ID-SS,2021-03-01,2021-04-08,PPKM Level 3,PPKM Level 3 Sumatera Selatan,Implementasi PPKM Level 3 di Sumatera Selatan untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,False,75.6,32.0,Berakhir
90,ID-JK,2021-06-01,2021-07-21,PPKM Level 4,PPKM Level 4 DKI Jakarta,Implementasi PPKM Level 4 di DKI Jakarta untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,84.6,25.8,Berakhir
91,ID-JB,2021-06-01,2021-07-03,PPKM Level 4,PPKM Level 4 Jawa Barat,Implementasi PPKM Level 4 di Jawa Barat untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,74.8,23.6,Berakhir
92,ID-JI,2021-06-01,2021-08-14,PPKM Level 4,PPKM Level 4 Jawa Timur,Implementasi PPKM Level 4 di Jawa Timur untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,74.4,26.0,Berakhir
93,ID-JT,2021-06-01,2021-07-09,PPKM Level 4,PPKM Level 4 Jawa Tengah,Implementasi PPKM Level 4 di Jawa Tengah untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,65.1,25.8,Berakhir
94,ID-BT,2021-06-01,2021-08-11,PPKM Level 4,PPKM Level 4 Banten,Implementasi PPKM Level 4 di Banten untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,63.4,43.1,Berakhir
95,ID-BA,2021-06-01,2021-07-27,PPKM Level 4,PPKM Level 4 Bali,Implementasi PPKM Level 4 di Bali untuk mengendalikan penyebaran COVID-19,9,True,True,True,True,True,88.6,27.9,Berakhir
96,ID-JK,2021-08-01,2021-10-26,PPKM Level 3,PPKM Level 3 DKI Jakarta,Implementasi PPKM Level 3 di DKI Jakarta untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,False,74.3,34.8,Berakhir
97,ID-JB,2021-08-01,2021-10-05,PPKM Level 3,PPKM Level 3 Jawa Barat,Implementasi PPKM Level 3 di Jawa Barat untuk mengendalikan penyebaran COVID-19,7,True,True,True,True,False,62.1,29.4,Berakhir
98,ID-JI,2021-08-01,2021-10-23,PPKM Level 3,PPKM Level 3 Jawa Timur,Implementasi PPKM Level 3 di Jawa Timur untuk mengendalikan penyebaran COVID-19,7,True,True,True,True,False,75.0,24.2,Berakhir
99,ID-JT,2021-08-01,2021-10-03,PPKM Level 3,PPKM Level 3 Jawa Tengah,Implementasi PPKM Level 3 di Jawa Tengah untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,False,69.3,27.6,Berakhir
100,ID-BT,2021-08-01,2021-10-25,PPKM Level 3,PPKM Level 3 Banten,Implementasi PPKM Level 3 di Banten untuk mengendalikan penyebaran COVID-19,7,True,True,True,True,False,66.4,31.5,Berakhir
101,ID-BA,2021-08-01,2021-09-18,PPKM Level 3,PPKM Level 3 Bali,Implementasi PPKM Level 3 di Bali untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,True,87.1,20.5,Berakhir
102,ID-SU,2021-08-01,2021-10-28,PPKM Level 3,PPKM Level 3 Sumatera Utara,Implementasi PPKM Level 3 di Sumatera Utara untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,False,88.2,29.2,Berakhir
103,ID-SN,2021-08-01,2021-09-18,PPKM Level 3,PPKM Level 3 Sulawesi Selatan,Implementasi PPKM Level 3 di Sulawesi Selatan untuk mengendalikan penyebaran COVID-19,7,True,True,False,True,True,65.0,14.8,Berakhir
104,ID-SS,2021-08-01,2021-09-13,PPKM Level 3,PPKM Level 3 Sumatera Selatan,Implementasi PPKM Level 3 di Sumatera Selatan untuk mengendalikan penyebaran COVID-19,7,True,True,True,True,False,76.7,25.3,Berakhir
105,ID-JB,2021-10-01,2021-12-15,PPKM Level 2,PPKM Level 2 Jawa Barat,Implementasi PPKM Level 2 di Jawa Barat untuk mengendalikan penyebaran COVID-19,5,False,True,True,True,True,76.5,20.5,Berakhir
106,ID-NB,2021-10-01,2021-11-27,PPKM Level 2,PPKM Level 2 Nusa Tenggara Barat,Implementasi PPKM Level 2 di Nusa Tenggara Barat untuk mengendalikan penyebaran COVID-19,5,True,False,False,True,False,75.4,14.1,Berakhir
107,ID-KR,2021-10-01,2021-11-21,PPKM Level 2,PPKM Level 2 Kepulauan Riau,Implementasi PPKM Level 2 di Kepulauan Riau untuk mengendalikan penyebaran COVID-19,5,True,True,True,True,False,72.0,10.7,Berakhir
108,ID-LA,2021-10-01,2021-10-17,PPKM Level 2,PPKM Level 2 Lampung,Implementasi PPKM Level 2 di Lampung untuk mengendalikan penyebaran COVID-19,5,False,True,False,True,False,74.7,17.7,Berakhir
109,ID-KB,2021-10-01,2021-10-18,PPKM Level 2,PPKM Level 2 Kalimantan Barat,Implementasi PPKM Level 2 di Kalimantan Barat untuk mengendalikan penyebaran COVID-19,5,False,True,False,True,False,65.0,18.4,Berakhir
110,ID-KT,2021-10-01,2021-10-19,PPKM Level 2,PPKM Level 2 Kalimantan Tengah,Implementasi PPKM Level 2 di Kalimantan Tengah untuk mengendalikan penyebaran COVID-19,5,True,True,False,True,False,67.4,10.7,Berakhir
111,ID-SR,2021-10-01,2021-11-20,PPKM Level 2,PPKM Level 2 Sulawesi Barat,Implementasi PPKM Level 2 di Sulawesi Barat untuk mengendalikan penyebaran COVID-19,5,False,False,False,True,True,74.3,24.6,Berakhir
112,ID-BT,2021-10-01,2021-11-23,PPKM Level 2,PPKM Level 2 Banten,Implementasi PPKM Level 2 di Banten untuk mengendalikan penyebaran COVID-19,5,True,True,True,False,False,70.9,14.4,Berakhir
113,ID-GO,2021-10-01,2021-11-14,PPKM Level 2,PPKM Level 2 Gorontalo,Implementasi PPKM Level 2 di Gorontalo untuk mengendalikan penyebaran COVID-19,5,False,False,True,False,True,64.5,17.1,Berakhir
114,ID-JI,2021-10-01,2021-12-16,PPKM Level 2,PPKM Level 2 Jawa Timur,Implementasi PPKM Level 2 di Jawa Timur untuk mengendalikan penyebaran COVID-19,5,True,True,False,True,True,88.8,17.8,Berakhir
115,ID-JT,2021-10-01,2021-12-30,PPKM Level 2,PPKM Level 2 Jawa Tengah,Implementasi PPKM Level 2 di Jawa Tengah untuk mengendalikan penyebaran COVID-19,5,True,True,True,True,True,84.7,17.5,Berakhir
116,ID-SS,2022-01-01,2022-01-20,PPKM Level 2,PPKM Level 2 Sumatera Selatan,Implementasi PPKM Level 2 di Sumatera Selatan untuk mengendalikan penyebaran COVID-19,4,True,False,False,True,True,71.6,14.4,Berakhir
117,ID-MU,2022-01-01,2022-02-16,PPKM Level 2,PPKM Level 2 Maluku Utara,Implementasi PPKM Level 2 di Maluku Utara untuk mengendalikan penyebaran COVID-19,4,True,True,True,False,False,61.2,16.7,Berakhir
118,ID-NB,2022-01-01,2022-02-11,PPKM Level 2,PPKM Level 2 Nusa Tenggara Barat,Implementasi PPKM Level 2 di Nusa Tenggara Barat untuk mengendalikan penyebaran COVID-19,4,False,False,False,True,False,68.2,9.7,Berakhir
119,ID-GO,2022-01-01,2022-03-17,PPKM Level 2,PPKM Level 2 Gorontalo,Implementasi PPKM Level 2 di Gorontalo untuk mengendalikan penyebaran COVID-19,4,True,True,True,False,False,88.0,9.8,Berakhir
120,ID-KT,2022-01-01,2022-02-15,PPKM Level 2,PPKM Level 2 Kalimantan Tengah,Implementasi PPKM Level 2 di Kalimantan Tengah untuk mengendalikan penyebaran COVID-19,4,True,True,False,True,True,79.0,8.5,Berakhir
121,ID-ST,2022-01-01,2022-02-11,PPKM Level 2,PPKM Level 2 Sulawesi Tengah,Implementasi PPKM Level 2 di Sulawesi Tengah untuk mengendalikan penyebaran COVID-19,4,True,True,True,False,False,71.3,14.0,Berakhir
