id_cluster,iso_code,tanggal_terdeteksi,tanggal_selesai,nama_cluster,jenis_cluster,nama_lokasi,alamat_lokasi,latitude,longitude,kasus_index,total_kasus_terkait,total_kontak_erat,total_suspect,kasus_anak,kasus_dewasa,kasus_lansia,kasus_laki,kasus_perempuan,kasus_tanpa_gejala,kasus_ringan,kasus_sedang,kasus_berat,kasus_kritis,kasus_meninggal,contact_tracing_completed,area_disinfection,temporary_closure,mass_testing,status_cluster,catatan
11,ID-AC,2021-10-27,2021-12-10,Cluster Sekolah Aceh 11,Sekolah,Lokasi Sekolah Aceh,"Jl. Sekolah No. 15, Aceh",-4.188157,128.423646,1,38,126,23,19,13,0,19,19,10,20,5,2,0,0,True,True,False,False,Selesai,Cluster Sekolah terdeteksi di Aceh dengan 38 kasus terkait
12,ID-AC,2021-12-09,2021-12-22,Cluster Keluarga Aceh 12,Keluarga,Lokasi Keluarga Aceh,"Jl. Keluarga No. 93, Aceh",1.176349,101.756989,1,17,75,8,2,8,3,8,9,3,9,3,1,0,0,True,True,False,True,Selesai,Cluster Keluarga terdeteksi di Aceh dengan 17 kasus terkait
13,ID-AC,2022-07-20,2022-09-11,Cluster Keluarga Aceh 13,Keluarga,Lokasi Keluarga Aceh,"Jl. Keluarga No. 47, Aceh",-0.805116,119.643941,1,14,48,6,2,7,1,7,7,3,8,2,0,0,0,True,True,False,False,Terkendali,Cluster Keluarga terdeteksi di Aceh dengan 14 kasus terkait
14,ID-AC,2020-06-07,2020-07-03,Cluster Keluarga Aceh 14,Keluarga,Lokasi Keluarga Aceh,"Jl. Keluarga No. 60, Aceh",-9.04003,104.74536,1,14,62,15,2,7,2,5,9,5,7,2,0,0,0,False,True,False,True,Selesai,Cluster Keluarga terdeteksi di Aceh dengan 14 kasus terkait
15,ID-AC,2020-03-19,2020-05-07,Cluster Perkantoran Aceh 15,Perkantoran,Lokasi Perkantoran Aceh,"Jl. Perkantoran No. 63, Aceh",-3.194997,96.771438,1,23,67,13,5,14,3,12,11,6,10,3,0,0,0,True,True,True,True,Terkendali,Cluster Perkantoran terdeteksi di Aceh dengan 23 kasus terkait
16,ID-AC,2021-07-03,2021-08-25,Cluster Pabrik Aceh 16,Pabrik,Lokasi Pabrik Aceh,"Jl. Pabrik No. 90, Aceh",5.19368,122.15288,1,28,139,26,3,15,4,13,15,8,15,4,1,0,0,False,True,False,True,Terkendali,Cluster Pabrik terdeteksi di Aceh dengan 28 kasus terkait
17,ID-AC,2021-10-17,2021-12-03,Cluster Perkantoran Aceh 17,Perkantoran,Lokasi Perkantoran Aceh,"Jl. Perkantoran No. 49, Aceh",-1.91297,98.849827,1,39,104,23,7,20,5,22,17,11,19,7,1,1,0,False,True,True,True,Terkendali,Cluster Perkantoran terdeteksi di Aceh dengan 39 kasus terkait
18,ID-SU,2021-07-02,2021-08-21,Cluster Pabrik Sumatera Utara 1,Pabrik,Lokasi Pabrik Sumatera Utara,"Jl. Pabrik No. 73, Sumatera Utara",4.512728,101.393159,1,55,119,25,13,33,10,25,30,14,28,9,3,1,0,False,False,False,False,Selesai,Cluster Pabrik terdeteksi di Sumatera Utara dengan 55 kasus terkait
19,ID-SU,2021-06-14,2021-07-12,Cluster Transportasi Sumatera Utara 2,Transportasi,Lokasi Transportasi Sumatera Utara,"Jl. Transportasi No. 74, Sumatera Utara",0.754704,129.462871,1,10,41,9,2,5,1,4,6,2,4,1,0,0,0,True,False,False,False,Selesai,Cluster Transportasi terdeteksi di Sumatera Utara dengan 10 kasus terkait
20,ID-SU,2021-11-13,2021-12-18,Cluster Universitas Sumatera Utara 3,Universitas,Lokasi Universitas Sumatera Utara,"Jl. Universitas No. 70, Sumatera Utara",4.188298,140.636488,1,21,59,11,11,8,1,12,9,5,8,3,0,0,0,False,True,False,False,Terkendali,Cluster Universitas terdeteksi di Sumatera Utara dengan 21 kasus terkait
21,ID-SU,2021-12-09,2021-12-28,Cluster Perkantoran Sumatera Utara 4,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 16, Sumatera Utara",-2.123734,137.70137,1,43,205,31,6,28,6,22,21,11,19,5,2,0,0,False,True,True,False,Selesai,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 43 kasus terkait
22,ID-SU,2020-07-25,2020-09-12,Cluster Pabrik Sumatera Utara 5,Pabrik,Lokasi Pabrik Sumatera Utara,"Jl. Pabrik No. 77, Sumatera Utara",3.057097,132.766824,1,21,48,9,4,12,2,9,12,6,11,4,0,0,0,False,False,False,False,Terkendali,Cluster Pabrik terdeteksi di Sumatera Utara dengan 21 kasus terkait
23,ID-SU,2021-02-17,2021-04-07,Cluster Pabrik Sumatera Utara 6,Pabrik,Lokasi Pabrik Sumatera Utara,"Jl. Pabrik No. 80, Sumatera Utara",0.089691,97.204962,1,92,220,61,25,47,14,37,55,19,41,14,2,2,1,True,True,False,False,Selesai,Cluster Pabrik terdeteksi di Sumatera Utara dengan 92 kasus terkait
24,ID-SU,2020-05-31,2020-06-10,Cluster Lainnya Sumatera Utara 7,Lainnya,Lokasi Lainnya Sumatera Utara,"Jl. Lainnya No. 37, Sumatera Utara",5.972357,123.563741,1,10,22,4,1,6,1,5,5,3,4,1,0,0,0,True,True,False,False,Selesai,Cluster Lainnya terdeteksi di Sumatera Utara dengan 10 kasus terkait
25,ID-SU,2020-04-06,2020-05-14,Cluster Rumah Sakit Sumatera Utara 8,Rumah Sakit,Lokasi Rumah Sakit Sumatera Utara,"Jl. Rumah Sakit No. 15, Sumatera Utara",-4.77616,95.21192,1,29,79,16,4,15,4,12,17,7,13,5,1,0,0,False,False,False,True,Selesai,Cluster Rumah Sakit terdeteksi di Sumatera Utara dengan 29 kasus terkait
26,ID-SU,2020-08-20,2020-10-03,Cluster Perkantoran Sumatera Utara 9,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 47, Sumatera Utara",-9.142509,101.196966,1,76,293,74,15,38,8,41,35,17,44,14,3,1,0,True,False,True,True,Selesai,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 76 kasus terkait
27,ID-SU,2020-08-21,2020-10-10,Cluster Perkantoran Sumatera Utara 10,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 7, Sumatera Utara",-8.779249,107.374536,1,51,132,17,5,31,5,27,24,19,28,6,2,1,0,True,True,True,True,Selesai,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 51 kasus terkait
28,ID-SU,2022-05-07,2022-05-20,Cluster Keluarga Sumatera Utara 11,Keluarga,Lokasi Keluarga Sumatera Utara,"Jl. Keluarga No. 66, Sumatera Utara",5.881199,113.562122,1,29,120,15,4,20,3,15,14,8,16,4,1,0,0,True,False,False,True,Terkendali,Cluster Keluarga terdeteksi di Sumatera Utara dengan 29 kasus terkait
29,ID-SU,2020-05-27,2020-06-23,Cluster Lainnya Sumatera Utara 12,Lainnya,Lokasi Lainnya Sumatera Utara,"Jl. Lainnya No. 48, Sumatera Utara",0.046051,100.366803,1,11,27,5,2,6,1,5,6,2,5,2,0,0,0,True,True,False,True,Terkendali,Cluster Lainnya terdeteksi di Sumatera Utara dengan 11 kasus terkait
30,ID-SU,2021-11-10,2021-11-24,Cluster Keluarga Sumatera Utara 13,Keluarga,Lokasi Keluarga Sumatera Utara,"Jl. Keluarga No. 37, Sumatera Utara",-1.548836,121.030975,1,21,87,16,5,11,2,12,9,7,9,3,1,0,0,False,False,False,True,Terkendali,Cluster Keluarga terdeteksi di Sumatera Utara dengan 21 kasus terkait
31,ID-SU,2021-03-07,2021-04-06,Cluster Mall Sumatera Utara 14,Mall,Lokasi Mall Sumatera Utara,"Jl. Mall No. 24, Sumatera Utara",4.915949,126.201974,1,3,9,2,0,2,0,1,2,0,1,0,0,0,0,False,True,False,True,Terkendali,Cluster Mall terdeteksi di Sumatera Utara dengan 3 kasus terkait
32,ID-SU,2022-04-27,2022-05-22,Cluster Perkantoran Sumatera Utara 15,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 33, Sumatera Utara",-2.599477,102.162182,1,27,110,28,7,13,3,14,13,8,14,3,0,0,0,False,False,True,False,Terkendali,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 27 kasus terkait
33,ID-SU,2020-06-20,2020-07-14,Cluster Pernikahan Sumatera Utara 16,Pernikahan,Lokasi Pernikahan Sumatera Utara,"Jl. Pernikahan No. 22, Sumatera Utara",-8.441696,111.031085,1,122,571,78,36,73,22,71,51,43,56,19,2,1,1,False,True,False,False,Terkendali,Cluster Pernikahan terdeteksi di Sumatera Utara dengan 122 kasus terkait
34,ID-SU,2020-12-05,2021-01-19,Cluster Perkantoran Sumatera Utara 17,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 58, Sumatera Utara",1.228825,134.033971,1,29,125,26,5,16,5,16,13,6,15,4,1,0,0,False,True,False,True,Selesai,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 29 kasus terkait
35,ID-SU,2020-03-10,2020-03-22,Cluster Pasar Sumatera Utara 18,Pasar,Lokasi Pasar Sumatera Utara,"Jl. Pasar No. 83, Sumatera Utara",-6.960999,112.135096,1,27,127,20,4,18,2,11,16,7,15,5,1,0,0,False,True,False,True,Terkendali,Cluster Pasar terdeteksi di Sumatera Utara dengan 27 kasus terkait
36,ID-SU,2022-01-30,2022-03-10,Cluster Universitas Sumatera Utara 19,Universitas,Lokasi Universitas Sumatera Utara,"Jl. Universitas No. 8, Sumatera Utara",-7.387175,135.312436,1,67,210,27,36,31,0,38,29,25,30,7,2,1,0,False,False,False,False,Selesai,Cluster Universitas terdeteksi di Sumatera Utara dengan 67 kasus terkait
37,ID-SU,2020-07-01,2020-08-17,Cluster Keagamaan Sumatera Utara 20,Keagamaan,Lokasi Keagamaan Sumatera Utara,"Jl. Keagamaan No. 44, Sumatera Utara",-3.791133,121.293537,1,180,473,110,43,114,31,86,94,56,106,26,4,2,2,True,True,False,True,Selesai,Cluster Keagamaan terdeteksi di Sumatera Utara dengan 180 kasus terkait
38,ID-SU,2021-08-29,2021-09-30,Cluster Perkantoran Sumatera Utara 21,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 61, Sumatera Utara",-0.469629,110.986983,1,42,197,42,11,28,4,21,21,8,24,4,2,1,0,False,True,True,True,Terkendali,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 42 kasus terkait
39,ID-SU,2020-08-19,2020-09-12,Cluster Keagamaan Sumatera Utara 22,Keagamaan,Lokasi Keagamaan Sumatera Utara,"Jl. Keagamaan No. 40, Sumatera Utara",1.891358,98.853291,1,95,207,24,11,52,14,51,44,19,54,17,6,1,0,True,False,False,False,Selesai,Cluster Keagamaan terdeteksi di Sumatera Utara dengan 95 kasus terkait
40,ID-SU,2022-03-23,2022-04-26,Cluster Olahraga Sumatera Utara 23,Olahraga,Lokasi Olahraga Sumatera Utara,"Jl. Olahraga No. 36, Sumatera Utara",-0.22592,106.856432,1,169,830,226,17,115,32,76,93,61,97,29,7,2,1,False,True,False,True,Terkendali,Cluster Olahraga terdeteksi di Sumatera Utara dengan 169 kasus terkait
41,ID-SU,2022-08-02,2022-08-20,Cluster Perkantoran Sumatera Utara 24,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 13, Sumatera Utara",1.55647,104.93318,1,83,397,48,24,45,10,33,50,30,38,13,3,2,0,False,True,False,False,Terkendali,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 83 kasus terkait
42,ID-SU,2020-10-15,2020-12-01,Cluster Perkantoran Sumatera Utara 25,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 91, Sumatera Utara",-5.706653,104.233478,1,100,431,96,28,58,12,55,45,32,58,19,5,1,1,False,True,True,True,Terkendali,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 100 kasus terkait
43,ID-SU,2020-03-09,2020-04-25,Cluster Pasar Sumatera Utara 26,Pasar,Lokasi Pasar Sumatera Utara,"Jl. Pasar No. 93, Sumatera Utara",-3.794414,109.554051,1,3,9,1,0,1,0,1,2,0,1,0,0,0,0,True,False,False,False,Selesai,Cluster Pasar terdeteksi di Sumatera Utara dengan 3 kasus terkait
44,ID-SU,2021-05-18,2021-06-24,Cluster Perkantoran Sumatera Utara 27,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 63, Sumatera Utara",-0.855478,130.906863,1,93,373,83,19,51,17,50,43,20,48,13,7,1,1,True,True,True,False,Terkendali,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 93 kasus terkait
45,ID-SU,2020-08-11,2020-09-05,Cluster Pabrik Sumatera Utara 28,Pabrik,Lokasi Pabrik Sumatera Utara,"Jl. Pabrik No. 38, Sumatera Utara",-1.490451,99.047681,1,50,167,26,13,33,6,26,24,19,29,7,2,1,0,False,True,False,True,Terkendali,Cluster Pabrik terdeteksi di Sumatera Utara dengan 50 kasus terkait
46,ID-SU,2022-05-08,2022-06-21,Cluster Olahraga Sumatera Utara 29,Olahraga,Lokasi Olahraga Sumatera Utara,"Jl. Olahraga No. 61, Sumatera Utara",1.106231,128.265763,1,128,603,115,37,77,25,69,59,33,60,19,7,3,2,True,True,False,True,Selesai,Cluster Olahraga terdeteksi di Sumatera Utara dengan 128 kasus terkait
47,ID-SU,2021-03-13,2021-04-09,Cluster Mall Sumatera Utara 30,Mall,Lokasi Mall Sumatera Utara,"Jl. Mall No. 72, Sumatera Utara",-1.989213,125.705497,1,25,52,7,6,17,4,13,12,7,12,2,1,0,0,False,True,False,False,Selesai,Cluster Mall terdeteksi di Sumatera Utara dengan 25 kasus terkait
48,ID-SU,2022-04-25,2022-05-03,Cluster Keluarga Sumatera Utara 31,Keluarga,Lokasi Keluarga Sumatera Utara,"Jl. Keluarga No. 59, Sumatera Utara",-6.396128,108.5041,1,6,22,4,0,3,0,3,3,1,3,1,0,0,0,True,True,False,False,Selesai,Cluster Keluarga terdeteksi di Sumatera Utara dengan 6 kasus terkait
49,ID-SU,2022-08-25,2022-09-09,Cluster Perkantoran Sumatera Utara 32,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 10, Sumatera Utara",1.150374,106.037169,1,21,95,25,5,14,2,9,12,7,12,3,1,0,0,True,True,True,True,Selesai,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 21 kasus terkait
50,ID-SU,2021-10-18,2021-11-07,Cluster Keluarga Sumatera Utara 33,Keluarga,Lokasi Keluarga Sumatera Utara,"Jl. Keluarga No. 47, Sumatera Utara",3.139388,130.867055,1,28,89,25,3,15,4,15,13,8,14,4,1,0,0,True,True,False,False,Terkendali,Cluster Keluarga terdeteksi di Sumatera Utara dengan 28 kasus terkait
51,ID-SU,2020-06-24,2020-08-19,Cluster Keagamaan Sumatera Utara 34,Keagamaan,Lokasi Keagamaan Sumatera Utara,"Jl. Keagamaan No. 50, Sumatera Utara",3.797856,96.618101,1,85,346,45,20,56,9,35,50,26,44,8,3,1,0,True,True,False,False,Selesai,Cluster Keagamaan terdeteksi di Sumatera Utara dengan 85 kasus terkait
52,ID-SU,2022-06-27,2022-07-31,Cluster Olahraga Sumatera Utara 35,Olahraga,Lokasi Olahraga Sumatera Utara,"Jl. Olahraga No. 94, Sumatera Utara",-9.80225,99.868872,1,42,84,11,4,21,6,19,23,14,23,6,3,1,0,False,True,False,True,Selesai,Cluster Olahraga terdeteksi di Sumatera Utara dengan 42 kasus terkait
53,ID-SU,2020-04-01,2020-05-03,Cluster Rumah Sakit Sumatera Utara 36,Rumah Sakit,Lokasi Rumah Sakit Sumatera Utara,"Jl. Rumah Sakit No. 56, Sumatera Utara",-8.243023,101.128864,1,8,16,1,2,4,1,3,5,2,3,1,0,0,0,True,True,False,True,Terkendali,Cluster Rumah Sakit terdeteksi di Sumatera Utara dengan 8 kasus terkait
54,ID-SU,2022-07-13,2022-08-10,Cluster Perkantoran Sumatera Utara 37,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 27, Sumatera Utara",-2.637041,106.878169,1,15,57,11,1,9,2,6,9,4,7,2,0,0,0,False,True,False,False,Selesai,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 15 kasus terkait
55,ID-SU,2021-02-26,2021-03-09,Cluster Pabrik Sumatera Utara 38,Pabrik,Lokasi Pabrik Sumatera Utara,"Jl. Pabrik No. 100, Sumatera Utara",2.952797,106.81156,1,32,65,10,7,20,3,16,16,11,14,5,1,0,0,False,False,False,False,Selesai,Cluster Pabrik terdeteksi di Sumatera Utara dengan 32 kasus terkait
56,ID-SU,2020-10-21,2020-10-29,Cluster Perkantoran Sumatera Utara 39,Perkantoran,Lokasi Perkantoran Sumatera Utara,"Jl. Perkantoran No. 69, Sumatera Utara",-3.7735,138.069728,1,29,97,21,3,17,5,13,16,8,15,3,0,0,0,True,True,False,False,Terkendali,Cluster Perkantoran terdeteksi di Sumatera Utara dengan 29 kasus terkait
57,ID-SB,2022-08-27,2022-09-24,Cluster Sekolah Sumatera Barat 1,Sekolah,Lokasi Sekolah Sumatera Barat,"Jl. Sekolah No. 71, Sumatera Barat",3.0991,115.278329,1,49,107,27,32,20,0,22,27,13,28,7,3,0,0,False,True,True,False,Selesai,Cluster Sekolah terdeteksi di Sumatera Barat dengan 49 kasus terkait
58,ID-SB,2022-08-01,2022-08-24,Cluster Keluarga Sumatera Barat 2,Keluarga,Lokasi Keluarga Sumatera Barat,"Jl. Keluarga No. 96, Sumatera Barat",-7.973777,126.396985,1,17,54,9,2,10,2,9,8,5,7,2,1,0,0,True,True,False,False,Selesai,Cluster Keluarga terdeteksi di Sumatera Barat dengan 17 kasus terkait
59,ID-SB,2021-12-21,2022-02-01,Cluster Keluarga Sumatera Barat 3,Keluarga,Lokasi Keluarga Sumatera Barat,"Jl. Keluarga No. 26, Sumatera Barat",-1.579824,114.925022,1,11,46,13,2,7,1,4,7,3,5,2,0,0,0,True,True,False,True,Selesai,Cluster Keluarga terdeteksi di Sumatera Barat dengan 11 kasus terkait
60,ID-SB,2021-08-16,2021-08-30,Cluster Keluarga Sumatera Barat 4,Keluarga,Lokasi Keluarga Sumatera Barat,"Jl. Keluarga No. 17, Sumatera Barat",1.40439,129.257634,1,12,30,7,1,7,1,5,7,3,4,1,0,0,0,False,True,False,True,Terkendali,Cluster Keluarga terdeteksi di Sumatera Barat dengan 12 kasus terkait
61,ID-SB,2021-11-02,2021-11-23,Cluster Sekolah Sumatera Barat 5,Sekolah,Lokasi Sekolah Sumatera Barat,"Jl. Sekolah No. 11, Sumatera Barat",2.031146,115.100854,1,28,92,13,12,6,1,14,14,7,15,4,1,0,0,True,True,True,True,Terkendali,Cluster Sekolah terdeteksi di Sumatera Barat dengan 28 kasus terkait
62,ID-SB,2022-02-27,2022-03-14,Cluster Perkantoran Sumatera Barat 6,Perkantoran,Lokasi Perkantoran Sumatera Barat,"Jl. Perkantoran No. 81, Sumatera Barat",1.200329,131.346217,1,46,219,53,11,26,5,18,28,10,23,6,2,1,0,False,False,False,False,Selesai,Cluster Perkantoran terdeteksi di Sumatera Barat dengan 46 kasus terkait
63,ID-SB,2020-08-11,2020-09-20,Cluster Pernikahan Sumatera Barat 7,Pernikahan,Lokasi Pernikahan Sumatera Barat,"Jl. Pernikahan No. 45, Sumatera Barat",-8.007788,118.324689,1,37,162,37,8,20,5,19,18,11,17,5,1,0,0,False,False,False,False,Terkendali,Cluster Pernikahan terdeteksi di Sumatera Barat dengan 37 kasus terkait
64,ID-SB,2020-03-20,2020-04-10,Cluster Lainnya Sumatera Barat 8,Lainnya,Lokasi Lainnya Sumatera Barat,"Jl. Lainnya No. 14, Sumatera Barat",-5.704443,130.226395,1,29,104,23,2,16,3,16,13,9,15,3,0,0,0,True,True,False,True,Terkendali,Cluster Lainnya terdeteksi di Sumatera Barat dengan 29 kasus terkait
65,ID-SB,2021-11-20,2022-01-03,Cluster Olahraga Sumatera Barat 9,Olahraga,Lokasi Olahraga Sumatera Barat,"Jl. Olahraga No. 99, Sumatera Barat",-4.467661,100.176691,1,187,674,200,39,127,25,102,85,55,81,22,8,4,1,False,True,False,True,Selesai,Cluster Olahraga terdeteksi di Sumatera Barat dengan 187 kasus terkait
66,ID-SB,2020-04-06,2020-04-22,Cluster Pasar Sumatera Barat 10,Pasar,Lokasi Pasar Sumatera Barat,"Jl. Pasar No. 98, Sumatera Barat",-7.880605,124.961542,1,11,41,9,2,6,2,5,6,3,4,1,0,0,0,True,True,False,True,Selesai,Cluster Pasar terdeteksi di Sumatera Barat dengan 11 kasus terkait
67,ID-SB,2020-12-26,2021-01-07,Cluster Pabrik Sumatera Barat 11,Pabrik,Lokasi Pabrik Sumatera Barat,"Jl. Pabrik No. 57, Sumatera Barat",3.647151,107.30634,1,56,218,57,7,33,7,30,26,15,28,6,4,0,0,False,True,False,False,Terkendali,Cluster Pabrik terdeteksi di Sumatera Barat dengan 56 kasus terkait
68,ID-SB,2021-03-01,2021-04-13,Cluster Perkantoran Sumatera Barat 12,Perkantoran,Lokasi Perkantoran Sumatera Barat,"Jl. Perkantoran No. 17, Sumatera Barat",-10.32214,136.853906,1,51,174,23,13,27,9,25,26,14,21,9,2,1,0,True,False,True,False,Selesai,Cluster Perkantoran terdeteksi di Sumatera Barat dengan 51 kasus terkait
69,ID-SB,2020-12-01,2020-12-28,Cluster Pernikahan Sumatera Barat 13,Pernikahan,Lokasi Pernikahan Sumatera Barat,"Jl. Pernikahan No. 24, Sumatera Barat",-2.147422,102.862634,1,159,488,63,25,100,17,91,68,35,81,27,8,3,2,False,True,False,True,Selesai,Cluster Pernikahan terdeteksi di Sumatera Barat dengan 159 kasus terkait
70,ID-SB,2021-04-21,2021-06-08,Cluster Perkantoran Sumatera Barat 14,Perkantoran,Lokasi Perkantoran Sumatera Barat,"Jl. Perkantoran No. 15, Sumatera Barat",5.388379,120.514981,1,51,195,42,5,33,9,26,25,12,23,5,2,0,0,False,True,False,True,Terkendali,Cluster Perkantoran terdeteksi di Sumatera Barat dengan 51 kasus terkait
71,ID-SB,2021-10-15,2021-12-05,Cluster Olahraga Sumatera Barat 15,Olahraga,Lokasi Olahraga Sumatera Barat,"Jl. Olahraga No. 67, Sumatera Barat",-5.066321,125.655965,1,131,327,92,26,84,22,68,63,35,68,22,10,2,1,False,False,False,False,Terkendali,Cluster Olahraga terdeteksi di Sumatera Barat dengan 131 kasus terkait
72,ID-SB,2020-12-26,2021-01-31,Cluster Keluarga Sumatera Barat 16,Keluarga,Lokasi Keluarga Sumatera Barat,"Jl. Keluarga No. 35, Sumatera Barat",-4.7798,127.067508,1,9,28,4,2,5,1,5,4,2,4,0,0,0,0,False,False,False,False,Selesai,Cluster Keluarga terdeteksi di Sumatera Barat dengan 9 kasus terkait
73,ID-SB,2022-02-23,2022-04-03,Cluster Sekolah Sumatera Barat 17,Sekolah,Lokasi Sekolah Sumatera Barat,"Jl. Sekolah No. 22, Sumatera Barat",-4.91324,97.0364,1,70,152,42,48,23,1,35,35,17,41,7,3,1,0,False,False,False,True,Terkendali,Cluster Sekolah terdeteksi di Sumatera Barat dengan 70 kasus terkait
74,ID-SB,2022-07-28,2022-08-07,Cluster Universitas Sumatera Barat 18,Universitas,Lokasi Universitas Sumatera Barat,"Jl. Universitas No. 54, Sumatera Barat",-5.084187,105.218595,1,95,451,92,36,44,7,52,43,25,48,10,7,2,0,True,False,False,True,Selesai,Cluster Universitas terdeteksi di Sumatera Barat dengan 95 kasus terkait
75,ID-SB,2021-02-03,2021-02-11,Cluster Pabrik Sumatera Barat 19,Pabrik,Lokasi Pabrik Sumatera Barat,"Jl. Pabrik No. 28, Sumatera Barat",1.937925,122.58321,1,35,85,20,9,24,3,20,15,11,14,5,2,0,0,True,True,False,False,Selesai,Cluster Pabrik terdeteksi di Sumatera Barat dengan 35 kasus terkait
