id_vaksinasi,iso_code,tanggal,vaksin_sinovac,vaksin_astrazeneca,vaksin_pfizer,vaksin_moderna,vaksin_novavax,vaksin_lainnya,dosis_1,dosis_2,dosis_booster,lansia_vaksin,dewasa_vaksin,remaja_vaksin,anak_vaksin,nakes_vaksin,guru_vaksin,petugas_publik_vaksin,puskesmas_vaksin,rumah_sakit_vaksin,sentra_vaksin,drive_thru_vaksin,kipi_ringan,kipi_sedang,kipi_berat
11,ID-JK,2021-03-01,18223,5158,0,0,0,0,18618,4577,0,3999,14594,3117,0,1221,772,1272,10105,6148,2429,2507,286,77,6
12,ID-JB,2021-03-01,190194,49347,0,0,0,0,168570,58426,0,51782,153909,14031,0,22737,23832,17256,103987,67798,38346,31011,10256,631,166
13,ID-JT,2021-03-01,62593,12486,0,0,0,0,59364,16376,0,12987,49388,4569,0,5273,6769,3773,36335,16138,8230,7326,2596,101,60
14,ID-YO,2021-03-01,6539,1775,0,0,217,507,6562,1994,0,2103,6639,1152,0,1038,601,381,3694,2286,1111,1177,375,40,5
15,ID-JI,2021-03-01,135195,37965,0,0,0,0,124596,21952,0,34236,109935,23533,0,13563,15822,7708,75810,46911,30985,18666,2547,184,119
16,ID-BT,2021-03-01,8588,1940,0,0,217,507,8225,2591,0,1973,8194,1039,0,974,554,684,6200,2715,2007,1105,279,67,3
17,ID-BA,2021-03-01,5135,1610,0,0,0,0,5714,1827,0,1456,4803,638,0,808,278,221,3238,1577,1045,807,258,16,6
18,ID-NB,2021-03-01,2199,395,0,0,140,328,2711,573,0,479,1939,177,0,164,174,242,1601,772,524,336,146,25,2
19,ID-NT,2021-03-01,6120,1912,0,0,70,164,7116,1299,0,1267,5703,839,0,604,346,183,3702,1653,956,1237,340,34,3
20,ID-KB,2021-03-01,8061,2481,0,0,0,0,7524,1244,0,1881,7637,1491,0,894,1027,385,5495,2313,2034,1133,215,49,2
21,ID-KT,2021-03-01,2935,1119,0,0,0,0,3488,1181,0,963,2926,435,0,484,395,218,2245,1117,795,388,115,25,0
22,ID-KS,2021-03-01,3135,996,0,0,79,184,3950,1034,0,760,2845,639,0,446,134,307,1976,919,735,580,57,41,2
23,ID-KI,2021-03-01,6364,1113,0,0,0,0,6650,1769,0,1801,5045,523,0,923,681,242,3294,1682,1210,490,106,69,5
24,ID-KU,2021-03-01,9018,2771,0,0,0,0,9528,1278,0,2336,8170,1169,0,1751,1093,850,5872,3518,2258,919,222,72,1
25,ID-SA,2021-03-01,10018,2620,0,0,0,0,10116,2258,0,2763,7914,1866,0,1514,786,775,5085,2793,1998,1043,436,42,7
26,ID-ST,2021-03-01,4642,1301,0,0,0,0,4595,1187,0,1016,4190,518,0,804,294,183,2533,1530,730,356,123,18,2
27,ID-SN,2021-03-01,16560,6627,0,0,0,0,16924,6054,0,3887,15649,3467,0,3128,1534,1466,12916,5333,3622,2475,601,167,3
28,ID-SG,2021-03-01,10152,2884,0,0,0,0,10298,2176,0,2425,8917,1866,0,987,409,355,7475,3862,1562,1402,468,33,10
29,ID-GO,2021-03-01,6060,1434,0,0,0,0,6349,2082,0,1409,4818,848,0,483,312,513,3503,1971,1177,1010,96,18,2
30,ID-SR,2021-03-01,5157,1044,0,0,180,420,5638,1049,0,1322,4961,587,0,739,663,304,2970,1376,1175,790,323,49,1
31,ID-MA,2021-03-01,3604,564,0,0,250,583,4380,1048,0,763,3299,632,0,291,241,146,2655,1443,654,373,106,33,1
32,ID-MU,2021-03-01,9218,3039,0,0,241,563,11391,2155,0,2581,9747,1359,0,1008,798,1021,7047,2843,2086,1477,462,79,7
33,ID-PA,2021-03-01,8132,1808,0,0,220,513,8623,2785,0,2072,6990,811,0,857,320,735,6079,2501,1568,542,500,101,5
34,ID-PB,2021-03-01,2443,493,0,0,51,121,2320,315,0,582,2057,329,0,278,128,199,1485,739,392,286,60,24,2
35,ID-AC,2021-03-08,17701,3319,0,0,39,91,17948,5536,0,4045,15398,1443,0,1670,1577,1206,9611,5547,2512,1098,253,122,5
36,ID-SU,2021-03-08,15933,5136,0,0,20,46,17868,3097,0,3488,14246,1779,0,1715,1816,1688,10414,5899,2811,2839,1015,31,16
37,ID-SB,2021-03-08,3061,533,0,0,78,183,3348,1015,0,897,2384,488,0,288,323,179,2111,784,563,490,118,37,2
38,ID-RI,2021-03-08,17043,3679,0,0,489,1142,18460,2424,0,5448,15159,1683,0,2545,981,1637,12802,4957,2487,2532,513,56,7
39,ID-JA,2021-03-08,3804,451,0,0,54,125,3141,1138,0,876,3057,386,0,261,182,113,2322,1299,885,498,54,30,3
40,ID-SS,2021-03-08,24166,4883,0,0,1283,2993,29871,8588,0,7520,24022,3128,0,2309,2607,1382,14228,9660,4949,3124,726,242,9
41,ID-BE,2021-03-08,4031,1291,0,0,0,0,4018,1417,0,1284,3635,302,0,348,269,190,2519,1064,871,467,92,6,4
42,ID-LA,2021-03-08,24550,8017,0,0,79,185,27304,6822,0,6197,22280,3275,0,3452,2393,1292,17341,6929,5000,1860,1425,71,29
43,ID-BB,2021-03-08,4323,649,0,0,135,316,4416,1449,0,1170,3682,651,0,410,301,305,2246,1589,655,537,247,9,4
44,ID-KR,2021-03-08,3025,1072,0,0,0,0,3208,712,0,904,2964,313,0,221,143,156,2412,1212,449,501,128,11,2
45,ID-JK,2021-03-08,18106,2979,0,0,258,602,18649,4016,0,3523,15269,1882,0,2103,1680,1601,9510,4784,3075,1837,358,219,10
46,ID-JB,2021-03-08,88241,34496,0,0,0,0,93885,21398,0,27789,81569,15045,0,13604,8520,4030,67890,35914,15392,17939,3424,561,92
47,ID-JT,2021-03-08,145436,36134,0,0,0,0,163173,29118,0,32688,114985,24615,0,9472,15893,11145,82649,46366,28258,25890,2939,243,76
48,ID-YO,2021-03-08,3604,1008,0,0,14,33,3479,1221,0,741,3075,660,0,575,375,314,2025,1316,787,501,215,29,1
49,ID-JI,2021-03-08,127934,18155,0,0,3251,7585,111603,39887,0,28998,113390,14382,0,21464,14262,5273,83258,40836,15872,20046,3970,587,21
50,ID-BT,2021-03-08,6918,1900,0,0,198,462,7053,1043,0,2115,6246,896,0,1038,619,315,4340,2269,1073,552,311,13,4
51,ID-BA,2021-03-08,3217,1024,0,0,0,0,3079,538,0,873,2854,488,0,295,310,272,1905,878,753,349,199,7,2
52,ID-NB,2021-03-08,6220,1326,0,0,160,375,6617,847,0,1458,6046,902,0,1204,492,232,3305,2277,969,706,325,70,1
53,ID-NT,2021-03-08,3251,1042,0,0,0,0,3751,1133,0,649,3022,262,0,407,135,139,2179,946,653,325,125,32,0
54,ID-KB,2021-03-08,8011,2466,0,0,272,635,9480,1237,0,1901,7316,1467,0,1272,383,674,4572,2719,1447,1539,414,99,1
55,ID-KT,2021-03-08,11127,1960,0,0,96,224,10406,3959,0,2144,8679,1832,0,1383,577,670,6591,3923,1369,1002,418,53,6
56,ID-KS,2021-03-08,3757,832,0,0,88,206,4029,719,0,1210,3297,640,0,549,446,358,2749,991,759,381,78,44,3
57,ID-KI,2021-03-08,3146,1183,0,0,0,0,3560,974,0,747,2753,282,0,636,405,172,2201,955,492,450,181,37,1
58,ID-KU,2021-03-08,9223,1456,0,0,234,547,10305,3382,0,1885,8480,1624,0,936,790,881,4855,2656,2154,1406,465,102,5
59,ID-SA,2021-03-08,6257,2275,0,0,0,0,7498,2445,0,1513,6116,517,0,584,711,483,3868,2190,1050,624,319,36,6
60,ID-ST,2021-03-08,6979,1926,0,0,0,0,7501,1556,0,2094,5999,567,0,617,287,586,3588,2021,1258,1106,441,69,1
61,ID-SN,2021-03-08,38015,11586,0,0,0,0,39581,8183,0,9709,31596,4488,0,2687,4041,2124,22944,12953,8642,5425,1538,440,40
62,ID-SG,2021-03-08,7308,2454,0,0,0,0,6916,2920,0,1970,6436,1205,0,1032,645,564,4001,2236,1364,785,420,50,4
63,ID-GO,2021-03-08,7362,2106,0,0,266,622,7544,2754,0,2021,7336,635,0,1324,990,639,4423,2499,1502,703,348,76,2
64,ID-SR,2021-03-08,6342,2015,0,0,29,69,7453,2192,0,1875,5230,519,0,802,468,434,4031,2360,1278,1225,212,37,6
65,ID-MA,2021-03-08,11340,3234,0,0,0,0,10639,3989,0,2446,10301,1340,0,1179,1221,681,7655,3086,1649,1024,508,47,7
66,ID-MU,2021-03-08,10726,1341,0,0,359,837,11626,1957,0,2770,8904,1207,0,768,955,460,6757,3474,2065,1757,158,30,9
67,ID-PA,2021-03-08,2995,802,0,0,0,0,3294,606,0,919,2306,348,0,257,292,215,2043,985,678,257,107,23,3
68,ID-PB,2021-03-08,3128,715,0,0,82,191,3193,467,0,793,2810,326,0,261,323,150,2080,1039,698,457,59,31,2
69,ID-AC,2021-03-15,19713,5882,0,0,0,0,22697,7608,0,4574,17694,2089,0,2624,2550,1055,10902,6559,3889,2896,760,67,16
70,ID-SU,2021-03-15,51524,5769,0,0,66,155,40536,12946,0,9305,41825,7474,0,8621,3392,2302,29452,15169,5816,4032,1223,466,21
71,ID-SB,2021-03-15,6944,919,0,0,365,851,7601,1527,0,2019,6286,480,0,613,482,365,4853,2647,1631,1040,265,60,8
72,ID-RI,2021-03-15,14486,4850,0,0,0,0,15136,4805,0,4515,12469,2368,0,1576,1305,628,10385,5413,3650,1650,943,68,2
73,ID-JA,2021-03-15,12216,3974,0,0,0,0,13181,2880,0,3392,11813,2026,0,1951,842,354,7816,4042,2003,1541,777,47,6
74,ID-SS,2021-03-15,9933,2962,0,0,0,0,11382,2433,0,1966,8670,1289,0,890,1220,824,6508,3579,1474,1768,553,121,9
75,ID-BE,2021-03-15,3879,881,0,0,0,0,4011,973,0,715,3521,565,0,520,171,228,1947,1199,789,386,157,18,4
76,ID-LA,2021-03-15,13491,2837,0,0,582,1358,13953,3438,0,2955,11369,1413,0,941,1344,928,8061,4293,2408,1171,697,64,5
77,ID-BB,2021-03-15,3170,646,0,0,11,26,3039,485,0,759,2702,233,0,213,230,118,2001,999,707,462,133,14,3
78,ID-KR,2021-03-15,9638,2388,0,0,0,0,10760,3020,0,2363,7453,1578,0,1707,754,569,6456,3259,1762,879,227,105,7
79,ID-JK,2021-03-15,39827,12275,0,0,0,0,43402,13429,0,12412,34803,2762,0,5081,2844,2483,22620,14421,8359,3268,735,435,42
80,ID-JB,2021-03-15,91757,28579,0,0,0,0,97056,21680,0,23025,83408,12610,0,17736,6843,4866,67723,31178,21471,11255,4993,710,37
81,ID-JT,2021-03-15,94038,37607,0,0,0,0,107269,25976,0,27542,88127,13889,0,17403,5572,10183,54490,27760,23881,16736,3311,717,91
82,ID-YO,2021-03-15,3527,1133,0,0,0,0,4103,1058,0,699,2898,302,0,480,267,254,2046,1249,613,498,216,17,4
83,ID-JI,2021-03-15,98218,18498,0,0,0,0,83785,11861,0,29020,77106,7324,0,9269,6518,6178,47926,31552,21251,10028,5188,1026,36
84,ID-BT,2021-03-15,8899,1869,0,0,197,460,8872,2014,0,2336,7991,1113,0,786,650,862,6489,2461,2282,1336,175,18,1
85,ID-BA,2021-03-15,9293,2183,0,0,54,125,10467,1362,0,2496,7720,1114,0,1502,842,530,5081,2924,1809,1107,282,31,7
86,ID-NB,2021-03-15,8637,1463,0,0,0,0,8083,1839,0,2066,6615,1493,0,1078,801,270,5012,2717,1153,1243,498,99,8
87,ID-NT,2021-03-15,6139,2384,0,0,16,39,6157,1668,0,1923,6383,495,0,972,736,332,3522,2010,1525,831,261,44,6
88,ID-KB,2021-03-15,7183,2090,0,0,0,0,7027,992,0,2246,6606,1137,0,986,318,448,4022,1902,1845,1213,324,33,1
89,ID-KT,2021-03-15,7890,1410,0,0,0,0,6756,1452,0,2192,5599,568,0,627,664,270,4550,2611,1172,1116,273,76,8
90,ID-KS,2021-03-15,5099,917,0,0,329,768,6308,930,0,1419,5328,903,0,524,432,414,3145,1945,956,812,286,14,1
91,ID-KI,2021-03-15,5917,1940,0,0,0,0,6682,1622,0,1476,5545,765,0,506,714,162,4599,1924,1318,1148,293,10,7
92,ID-KU,2021-03-15,9490,1984,0,0,0,0,10138,3117,0,2105,7344,686,0,1324,658,761,6308,3137,1822,797,269,82,3
93,ID-SA,2021-03-15,7987,2549,0,0,0,0,7400,1259,0,1689,7026,757,0,825,458,225,4408,3096,1745,1407,505,71,7
94,ID-ST,2021-03-15,3867,559,0,0,3,9,3690,1242,0,917,3307,619,0,530,211,213,2606,1171,853,344,120,40,3
95,ID-SN,2021-03-15,15118,2369,0,0,946,2208,17657,3644,0,3782,12571,3004,0,1578,1255,1021,12090,5388,2432,2047,325,163,6
96,ID-SG,2021-03-15,9460,2605,0,0,0,0,8694,1382,0,2499,7692,1141,0,1684,487,704,7077,3214,1527,1447,557,74,6
97,ID-GO,2021-03-15,11395,2673,0,0,63,147,12404,3657,0,3263,9723,718,0,2076,1245,698,7331,4190,1940,1687,371,95,13
98,ID-SR,2021-03-15,3298,1194,0,0,0,0,3216,862,0,1018,3131,303,0,242,255,141,2421,1301,732,385,60,30,3
99,ID-MA,2021-03-15,3455,1141,0,0,24,58,3830,925,0,731,3186,377,0,483,413,219,2803,953,494,602,54,9,3
100,ID-MU,2021-03-15,8713,2593,0,0,0,0,9891,1467,0,2350,8351,606,0,725,856,545,6598,2312,1923,712,190,16,4
101,ID-PA,2021-03-15,9909,1679,0,0,280,655,10247,3300,0,2011,8448,1627,0,902,1080,570,7042,3734,2102,1032,614,77,2
102,ID-PB,2021-03-15,11193,3296,0,0,0,0,11860,2421,0,2348,9000,1325,0,1733,995,671,8478,2956,1593,1952,499,115,1
103,ID-AC,2021-03-22,10336,2002,0,0,720,1680,10580,3395,0,3518,9763,1926,0,1875,1156,477,7781,3718,2081,2119,507,19,3
104,ID-SU,2021-03-22,40046,10143,0,0,0,0,42987,8510,0,7551,31887,3099,0,5170,1841,2093,27715,12746,6119,6375,1825,175,13
105,ID-SB,2021-03-22,10512,3688,0,0,0,0,11287,1920,0,3081,8611,1625,0,1114,858,568,7966,3916,1481,1761,667,36,11
106,ID-RI,2021-03-22,12758,4922,0,0,0,0,14926,3863,0,3228,11135,2080,0,1459,1494,699,7418,4840,3305,1547,332,92,9
107,ID-JA,2021-03-22,9976,3908,0,0,0,0,10982,2463,0,2271,9829,1571,0,2048,613,383,7475,2859,1577,1876,393,35,5
108,ID-SS,2021-03-22,29845,9378,0,0,0,0,32460,8719,0,6549,29241,5314,0,2300,3529,1935,23499,10164,7205,3056,1537,299,12
109,ID-BE,2021-03-22,5651,1928,0,0,0,0,6202,983,0,1571,4553,1121,0,409,477,501,3082,1918,1121,983,324,38,2
110,ID-LA,2021-03-22,18173,6373,0,0,397,927,23024,3273,0,4645,18035,1528,0,2534,1328,1609,14787,7107,2650,2470,1057,229,12
111,ID-BB,2021-03-22,9659,2406,0,0,123,289,10315,3394,0,1959,9159,1039,0,664,746,451,7352,3172,2239,1606,165,111,9
112,ID-KR,2021-03-22,3251,859,0,0,0,0,3606,502,0,766,2847,355,0,277,284,98,2227,906,814,303,59,21,3
113,ID-JK,2021-03-22,32573,5185,0,0,0,0,32056,5478,0,6995,24169,4456,0,2934,1300,1537,18774,9540,4239,4568,1402,218,13
114,ID-JB,2021-03-22,143807,48339,0,0,0,0,165583,55371,0,30082,140993,18405,0,11147,17841,7167,113620,40530,24516,23001,5736,1705,109
115,ID-JT,2021-03-22,95835,37129,0,0,0,0,107473,16807,0,24554,88631,15220,0,10524,4574,9614,59363,39190,21868,12122,3152,906,52
116,ID-YO,2021-03-22,8494,2716,0,0,0,0,8845,1802,0,1829,8053,753,0,851,716,877,6209,2295,1516,1071,186,104,8
117,ID-JI,2021-03-22,76616,22939,0,0,0,0,83484,23223,0,16461,63285,5387,0,8129,3868,3546,43495,25510,10300,8133,2364,433,58
118,ID-BT,2021-03-22,3764,1406,0,0,0,0,4037,1033,0,850,3457,424,0,260,422,406,2410,1398,762,408,246,50,3
119,ID-BA,2021-03-22,3874,1340,0,0,0,0,4110,1240,0,1163,3832,333,0,547,268,229,2962,1275,569,289,185,32,1
120,ID-NB,2021-03-22,10749,1486,0,0,597,1394,11490,2690,0,3089,8722,1439,0,987,743,801,8375,4137,1936,921,628,61,6
121,ID-NT,2021-03-22,4941,1895,0,0,0,0,5980,803,0,1522,4557,1020,0,891,343,467,4061,1656,1296,437,228,12,1
122,ID-KB,2021-03-22,7595,2585,0,0,0,0,7260,2972,0,2296,6243,925,0,1439,600,543,5518,2804,1157,698,257,60,1
123,ID-KT,2021-03-22,11195,2076,0,0,0,0,10774,2557,0,2026,7967,1012,0,1932,1173,641,7043,3838,1880,1316,497,42,2
124,ID-KS,2021-03-22,5686,717,0,0,0,0,5436,1384,0,1322,4675,722,0,624,503,174,3217,1648,1181,424,79,24,5
125,ID-KI,2021-03-22,3388,714,0,0,156,366,3625,1306,0,858,2976,476,0,664,305,305,2019,968,810,482,207,39,3
126,ID-KU,2021-03-22,5534,1571,0,0,0,0,5109,1534,0,1650,4276,723,0,620,454,287,4136,1493,820,512,124,64,4
127,ID-SA,2021-03-22,10447,2678,0,0,0,0,10634,3297,0,2118,8781,756,0,1730,1242,640,6067,3100,2384,1824,445,103,5
128,ID-ST,2021-03-22,8128,3028,0,0,108,253,8574,3125,0,1891,7302,720,0,725,408,707,6413,2393,2044,1448,134,22,9
129,ID-SN,2021-03-22,19565,3402,0,0,1355,3162,20630,3112,0,5957,19601,3524,0,3903,1219,2035,12009,6463,2998,3699,1310,262,11
130,ID-SG,2021-03-22,3941,1210,0,0,0,0,3854,1102,0,823,3537,264,0,369,223,190,2989,1306,1016,308,95,28,3
131,ID-GO,2021-03-22,6049,1390,0,0,0,0,6632,1012,0,1379,4886,531,0,541,281,588,3159,1569,845,939,284,44,1
132,ID-SR,2021-03-22,5016,1087,0,0,250,583,5688,1126,0,1717,4624,731,0,548,623,217,2871,1970,1023,817,119,69,3
133,ID-MA,2021-03-22,3356,987,0,0,0,0,3113,558,0,825,2990,261,0,619,427,103,2584,1015,692,647,64,37,3
134,ID-MU,2021-03-22,5344,1372,0,0,0,0,5067,1732,0,1439,4432,655,0,740,391,329,3061,1858,744,504,200,44,1
135,ID-PA,2021-03-22,2980,476,0,0,221,517,3505,1235,0,789,2944,273,0,470,154,103,2308,1160,752,294,153,22,1
136,ID-PB,2021-03-22,6210,1491,0,0,0,0,6857,818,0,1486,5677,680,0,627,433,366,3131,1968,1432,618,294,41,1
137,ID-AC,2021-03-29,15402,2353,0,0,467,1091,16127,4481,0,4220,13246,1884,0,2615,1264,839,9636,5737,3122,1647,948,75,2
138,ID-SU,2021-03-29,15358,3006,0,0,0,0,15580,1935,0,4391,11958,1096,0,1552,1010,754,9774,4127,3026,2006,852,29,6
139,ID-SB,2021-03-29,4963,1164,0,0,277,646,5585,1922,0,1458,5183,540,0,843,501,558,3353,1685,1108,922,98,49,2
140,ID-RI,2021-03-29,15409,3033,0,0,0,0,15177,3184,0,3570,12439,2484,0,2373,1638,961,8436,3776,3681,1663,351,141,3
141,ID-JA,2021-03-29,9439,2197,0,0,448,1045,9367,3416,0,2593,8291,1701,0,1511,671,896,6388,3334,1575,1184,459,66,10
142,ID-SS,2021-03-29,9696,3316,0,0,230,536,12022,2967,0,2360,10255,1711,0,1332,1317,716,7204,3815,1975,1469,483,78,5
143,ID-BE,2021-03-29,3484,1131,0,0,47,109,3626,892,0,867,3457,269,0,335,280,331,2525,1076,764,432,69,13,1
144,ID-LA,2021-03-29,27329,7306,0,0,0,0,27265,7944,0,5323,21608,2204,0,2626,2987,2061,15073,9879,6801,3414,373,302,6
145,ID-BB,2021-03-29,8925,2862,0,0,0,0,9210,2035,0,2542,7231,1701,0,1443,469,314,6446,3457,1793,1566,565,110,3
146,ID-KR,2021-03-29,10178,1694,0,0,522,1219,11726,2257,0,2837,8964,1699,0,1001,811,390,5922,4043,1959,1026,457,73,5
147,ID-JK,2021-03-29,40258,9744,0,0,822,1918,44122,15435,0,12549,39058,4551,0,6411,4614,1121,31295,13743,9712,6129,2512,380,42
148,ID-JB,2021-03-29,76205,15216,0,0,778,1817,83834,16224,0,21739,58131,12851,0,12764,5377,7012,44996,27998,11804,5549,4034,293,27
149,ID-JT,2021-03-29,145013,37152,0,0,0,0,159557,46151,0,34725,110224,24891,0,24104,17457,8792,87911,51756,31284,25079,7798,1533,132
150,ID-YO,2021-03-29,6991,2000,0,0,25,59,7829,2246,0,1772,5482,501,0,1036,672,612,3877,2178,1477,738,120,21,5
151,ID-JI,2021-03-29,169020,49300,0,0,0,0,189805,51774,0,50052,141451,21359,0,26966,10533,13371,123428,61119,26169,19965,3771,1940,207
152,ID-BT,2021-03-29,10139,3942,0,0,0,0,12456,3230,0,2994,10363,2075,0,983,1113,424,6761,3420,1774,829,348,134,2
153,ID-BA,2021-03-29,9147,3300,0,0,0,0,9842,2921,0,2014,8800,859,0,1695,1054,463,6208,2651,2310,1369,619,44,8
154,ID-NB,2021-03-29,6268,1035,0,0,214,501,6078,1221,0,1698,5902,697,0,949,497,165,3421,1863,1357,951,308,59,6
155,ID-NT,2021-03-29,4367,678,0,0,308,720,4656,892,0,1462,4552,874,0,891,436,394,2484,1368,983,487,156,26,5
156,ID-KB,2021-03-29,7927,1477,0,0,93,217,7778,2778,0,2309,6020,793,0,1000,387,262,3971,2067,1818,1296,387,90,3
157,ID-KT,2021-03-29,11123,3412,0,0,0,0,10941,2363,0,3477,9408,2172,0,1836,589,1034,7725,4067,1530,942,278,19,4
158,ID-KS,2021-03-29,9030,3430,0,0,0,0,11032,1347,0,2313,8801,1227,0,1237,1111,897,5292,2608,2327,848,208,69,4
159,ID-KI,2021-03-29,11186,2966,0,0,0,0,12656,2904,0,2930,9375,816,0,1794,1095,1036,5734,3794,2378,1265,475,135,12
160,ID-KU,2021-03-29,3470,1289,0,0,25,60,4030,924,0,1189,3338,245,0,712,367,373,2252,1323,840,706,158,14,0
161,ID-SA,2021-03-29,8199,1191,0,0,399,933,7657,3113,0,2017,7075,727,0,1570,971,271,6117,2319,1908,841,430,73,2
162,ID-ST,2021-03-29,6991,2322,0,0,0,0,7096,2207,0,1519,6517,1240,0,943,598,681,4612,2386,1325,1170,395,60,4
163,ID-SN,2021-03-29,17232,4096,0,0,902,2105,19291,3524,0,5320,15167,2422,0,2748,1623,911,11863,7074,3595,1578,367,222,20
164,ID-SG,2021-03-29,7042,1016,0,0,365,853,6635,1011,0,1491,6157,551,0,1076,647,326,4183,1931,1394,569,338,24,2
165,ID-GO,2021-03-29,5529,2124,0,0,18,43,5859,1677,0,1508,5404,867,0,590,753,557,3374,1685,1347,851,346,15,4
166,ID-SR,2021-03-29,2220,412,0,0,131,306,2441,731,0,727,2286,338,0,302,225,240,1449,820,518,274,67,6,0
167,ID-MA,2021-03-29,3053,1276,0,0,3,9,3785,615,0,932,3028,406,0,488,370,136,1998,1069,640,226,72,10,3
168,ID-MU,2021-03-29,11569,3961,0,0,0,0,12688,2178,0,3213,11260,855,0,788,1151,975,9254,4423,2697,1701,499,56,8
169,ID-PA,2021-03-29,7227,1963,0,0,0,0,7680,2420,0,1826,6498,945,0,847,478,218,5317,2221,1353,914,437,37,6
170,ID-PB,2021-03-29,2461,449,0,0,101,237,2497,475,0,558,2392,272,0,358,289,193,1384,745,556,474,140,22,2
171,ID-AC,2021-04-05,17989,5625,0,0,0,0,19466,3695,0,5311,16531,1485,0,1651,1709,615,11410,7069,3078,1675,280,27,21
172,ID-SU,2021-04-05,26650,9673,0,0,29,69,32010,3875,0,5695,24205,4070,0,2260,1664,1291,17047,8578,3812,5017,753,85,26
173,ID-SB,2021-04-05,7658,2215,0,0,0,0,8740,1851,0,1932,7170,603,0,598,718,660,5819,2787,1028,597,347,87,9
174,ID-RI,2021-04-05,7408,1839,0,0,156,364,7825,2407,0,1562,6808,815,0,622,873,452,4719,2704,1216,1278,231,54,1
175,ID-JA,2021-04-05,6355,1285,0,0,0,0,6364,995,0,1721,5067,556,0,994,450,340,3756,2179,1371,658,85,17,0
176,ID-SS,2021-04-05,30038,3952,0,0,0,0,25933,10074,0,5657,20707,4279,0,3943,2545,2520,13988,8944,5823,3944,1046,124,15
177,ID-BE,2021-04-05,9055,1796,0,0,95,223,9478,3148,0,1684,7170,1148,0,1586,882,522,4926,2842,1997,1286,423,100,8
178,ID-LA,2021-04-05,15487,3357,0,0,630,1470,14815,3495,0,4660,14891,1311,0,3124,1044,535,10688,5280,3679,1382,232,171,13
179,ID-BB,2021-04-05,5040,1446,0,0,0,0,5820,791,0,1011,4254,730,0,554,216,383,2756,1490,1126,618,319,53,6
180,ID-KR,2021-04-05,8601,2207,0,0,0,0,8718,2368,0,1999,6946,1388,0,1313,832,679,5446,2429,1435,1169,463,45,2
181,ID-JK,2021-04-05,36628,4924,0,0,228,532,30144,11750,0,8361,28218,3678,0,4342,3011,2163,20265,9578,6341,3907,1167,396,22
182,ID-JB,2021-04-05,203105,30267,0,0,448,1047,170379,56892,0,38269,165741,32018,0,14516,10542,11367,129012,69146,32161,34098,8000,1098,49
183,ID-JT,2021-04-05,83787,15461,0,0,5725,13360,91625,35287,0,21338,79625,15279,0,7598,8434,2712,68497,34187,14384,15609,3496,248,48
184,ID-YO,2021-04-05,10534,2885,0,0,7,18,10932,3765,0,3067,9025,1640,0,1486,1120,676,6617,3293,1948,1837,309,110,9
185,ID-JI,2021-04-05,78792,18900,0,0,2354,5493,85297,30777,0,25224,74974,12094,0,14416,8390,5732,59021,28573,16475,6583,3416,288,69
186,ID-BT,2021-04-05,7050,2123,0,0,224,524,7321,1936,0,2378,6132,1424,0,674,310,666,4455,2684,1872,936,419,64,4
187,ID-BA,2021-04-05,3087,370,0,0,24,57,2786,647,0,835,2291,267,0,217,130,106,1517,798,385,285,93,8,2
188,ID-NB,2021-04-05,4869,771,0,0,378,884,5370,1132,0,1320,4477,604,0,916,265,221,3799,1785,1030,864,175,14,1
